,date_cal,rain_cal,Q_obs_cal,Q_sim_cal
0,2001/ 1/ 1,0.12,0.6,0.6
1,2001/ 1/ 2,0.13,41.0,15.356
2,2001/ 1/ 3,0.0,27.73,12.891
3,2001/ 1/ 4,0.11,14.47,11.246
4,2001/ 1/ 5,0.0,1.2,9.967
5,2001/ 1/ 6,0.21,2.8,8.877
6,2001/ 1/ 7,6.8,7.2,7.902
7,2001/ 1/ 8,7.16,5.9,7.014
8,2001/ 1/ 9,2.88,5.75,6.2
9,2001/ 1/10,0.38,5.6,5.452
10,2001/ 1/11,0.3,1.8,4.757
11,2001/ 1/12,0.0,35.5,4.12
12,2001/ 1/13,0.0,19.25,3.531
13,2001/ 1/14,0.0,3.0,2.989
14,2001/ 1/15,0.0,7.3,2.988
15,2001/ 1/16,0.0,3.7,2.986
16,2001/ 1/17,0.01,0.1,2.984
17,2001/ 1/18,0.17,1.0,2.982
18,2001/ 1/19,0.17,0.9,2.98
19,2001/ 1/20,0.73,6.3,2.978
20,2001/ 1/21,0.12,3.6,2.976
21,2001/ 1/22,0.12,0.9,2.974
22,2001/ 1/23,0.08,0.1,2.972
23,2001/ 1/24,0.12,5.1,2.97
24,2001/ 1/25,0.26,3.5,2.968
25,2001/ 1/26,0.76,4.9,2.966
26,2001/ 1/27,1.72,2.2,2.963
27,2001/ 1/28,0.05,1.2,2.961
28,2001/ 1/29,0.12,31.6,2.959
29,2001/ 1/30,0.5,23.23,2.957
30,2001/ 1/31,1.66,14.87,2.955
31,2001/ 2/ 1,0.93,6.5,2.953
32,2001/ 2/ 2,0.0,2.3,2.951
33,2001/ 2/ 3,0.07,2.4,2.949
34,2001/ 2/ 4,0.43,2.4,2.947
35,2001/ 2/ 5,0.12,2.45,2.945
36,2001/ 2/ 6,0.12,2.5,2.943
37,2001/ 2/ 7,0.12,7.7,2.941
38,2001/ 2/ 8,0.01,5.05,2.939
39,2001/ 2/ 9,0.08,2.4,2.937
40,2001/ 2/10,0.04,5.1,2.935
41,2001/ 2/11,0.0,7.2,2.933
42,2001/ 2/12,0.0,4.75,2.931
43,2001/ 2/13,0.0,2.3,2.929
44,2001/ 2/14,0.4,3.7,2.927
45,2001/ 2/15,11.82,9.8,2.925
46,2001/ 2/16,1.42,5.7,2.923
47,2001/ 2/17,0.41,1.3,2.921
48,2001/ 2/18,0.98,4.65,2.919
49,2001/ 2/19,1.63,8.0,2.917
50,2001/ 2/20,0.0,2.2,2.916
51,2001/ 2/21,0.0,7.9,2.915
52,2001/ 2/22,0.0,4.5,2.914
53,2001/ 2/23,6.61,12.7,2.913
54,2001/ 2/24,5.21,12.3,2.912
55,2001/ 2/25,0.42,10.9,2.911
56,2001/ 2/26,1.69,0.8,2.909
57,2001/ 2/27,2.0,12.9,2.908
58,2001/ 2/28,3.37,6.7,2.85
59,2001/ 3/ 1,1.42,13.2,2.708
60,2001/ 3/ 2,0.01,9.1,3.414
61,2001/ 3/ 3,2.67,16.9,6.191
62,2001/ 3/ 4,1.08,24.9,4.873
63,2001/ 3/ 5,0.19,7.0,3.779
64,2001/ 3/ 6,0.2,13.4,3.724
65,2001/ 3/ 7,0.58,18.6,3.648
66,2001/ 3/ 8,0.07,4.4,3.647
67,2001/ 3/ 9,2.19,9.3,3.646
68,2001/ 3/10,4.69,13.9,3.645
69,2001/ 3/11,0.47,12.0,3.644
70,2001/ 3/12,0.08,4.8,3.642
71,2001/ 3/13,0.0,6.9,3.641
72,2001/ 3/14,0.64,8.2,6.045
73,2001/ 3/15,0.28,27.9,8.864
74,2001/ 3/16,0.01,57.1,10.876
75,2001/ 3/17,0.0,48.0,14.528
76,2001/ 3/18,0.0,45.8,18.801
77,2001/ 3/19,0.0,54.8,23.042
78,2001/ 3/20,0.0,64.0,130.488
79,2001/ 3/21,0.0,105.2,164.951
80,2001/ 3/22,0.0,85.6,106.227
81,2001/ 3/23,0.0,94.5,70.443
82,2001/ 3/24,0.0,69.4,51.579
83,2001/ 3/25,0.0,63.4,42.617
84,2001/ 3/26,0.01,82.5,35.064
85,2001/ 3/27,0.85,51.5,28.969
86,2001/ 3/28,2.33,49.1,25.249
87,2001/ 3/29,0.05,36.2,21.453
88,2001/ 3/30,1.42,24.5,18.438
89,2001/ 3/31,0.04,34.6,15.459
90,2001/ 4/ 1,0.0,15.6,12.885
91,2001/ 4/ 2,0.13,25.9,11.14
92,2001/ 4/ 3,0.1,21.3,9.838
93,2001/ 4/ 4,0.0,11.5,9.229
94,2001/ 4/ 5,0.0,18.1,9.692
95,2001/ 4/ 6,0.01,30.6,8.712
96,2001/ 4/ 7,0.0,34.4,7.833
97,2001/ 4/ 8,0.0,31.5,7.373
98,2001/ 4/ 9,0.0,22.9,6.882
99,2001/ 4/10,0.0,69.1,6.412
100,2001/ 4/11,10.85,55.0,17.993
101,2001/ 4/12,0.47,49.0,21.721
102,2001/ 4/13,0.69,40.2,21.701
103,2001/ 4/14,5.53,45.5,26.052
104,2001/ 4/15,0.0,40.5,25.11
105,2001/ 4/16,0.0,28.8,21.873
106,2001/ 4/17,0.0,48.7,17.797
107,2001/ 4/18,0.0,15.7,13.502
108,2001/ 4/19,0.09,39.6,10.296
109,2001/ 4/20,0.0,16.2,8.116
110,2001/ 4/21,0.09,24.3,7.75
111,2001/ 4/22,0.14,18.2,7.275
112,2001/ 4/23,0.0,16.3,6.825
113,2001/ 4/24,0.0,21.4,6.403
114,2001/ 4/25,0.0,19.1,6.01
115,2001/ 4/26,0.0,1.6,5.631
116,2001/ 4/27,0.0,21.4,5.272
117,2001/ 4/28,0.0,6.4,4.959
118,2001/ 4/29,0.0,23.0,4.64
119,2001/ 4/30,0.0,15.7,4.309
120,2001/ 5/ 1,0.15,1.7,4.028
121,2001/ 5/ 2,0.6,10.3,3.765
122,2001/ 5/ 3,0.0,5.1,3.765
123,2001/ 5/ 4,0.19,17.1,3.763
124,2001/ 5/ 5,0.0,13.35,3.762
125,2001/ 5/ 6,0.35,9.6,3.761
126,2001/ 5/ 7,2.74,6.3,3.134
127,2001/ 5/ 8,0.71,6.7,2.621
128,2001/ 5/ 9,1.78,10.1,2.652
129,2001/ 5/10,0.0,13.3,2.651
130,2001/ 5/11,0.01,13.77,2.65
131,2001/ 5/12,0.0,14.23,2.649
132,2001/ 5/13,0.0,14.7,2.647
133,2001/ 5/14,0.0,13.93,2.646
134,2001/ 5/15,0.0,13.17,2.644
135,2001/ 5/16,0.0,12.4,2.643
136,2001/ 5/17,0.03,8.05,2.641
137,2001/ 5/18,0.0,3.7,2.639
138,2001/ 5/19,0.0,12.5,2.638
139,2001/ 5/20,0.0,21.3,2.636
140,2001/ 5/21,0.04,4.4,2.634
141,2001/ 5/22,0.68,5.3,2.633
142,2001/ 5/23,0.03,5.06,2.631
143,2001/ 5/24,0.0,4.82,2.629
144,2001/ 5/25,0.0,4.58,2.628
145,2001/ 5/26,0.0,4.34,2.626
146,2001/ 5/27,0.0,4.1,2.624
147,2001/ 5/28,0.0,3.05,2.622
148,2001/ 5/29,0.03,2.0,2.62
149,2001/ 5/30,3.55,1.7,2.618
150,2001/ 5/31,1.59,1.4,2.617
151,2001/ 6/ 1,1.47,1.1,2.616
152,2001/ 6/ 2,0.0,0.6,2.615
153,2001/ 6/ 3,0.0,3.4,2.613
154,2001/ 6/ 4,0.0,4.8,2.612
155,2001/ 6/ 5,0.0,6.2,2.61
156,2001/ 6/ 6,0.01,4.88,2.608
157,2001/ 6/ 7,0.0,3.55,2.606
158,2001/ 6/ 8,2.86,2.22,2.604
159,2001/ 6/ 9,11.56,0.9,12.525
160,2001/ 6/10,0.05,6.3,12.364
161,2001/ 6/11,12.75,11.7,23.897
162,2001/ 6/12,3.5,18.8,28.971
163,2001/ 6/13,1.22,3.2,28.552
164,2001/ 6/14,0.12,10.5,23.684
165,2001/ 6/15,1.14,7.1,18.402
166,2001/ 6/16,0.0,3.7,12.757
167,2001/ 6/17,4.95,4.3,13.485
168,2001/ 6/18,34.94,44.0,94.007
169,2001/ 6/19,5.44,31.3,141.169
170,2001/ 6/20,0.79,32.4,114.668
171,2001/ 6/21,1.65,17.4,82.145
172,2001/ 6/22,1.7,13.9,62.151
173,2001/ 6/23,0.11,10.7,50.231
174,2001/ 6/24,5.47,17.9,49.257
175,2001/ 6/25,0.16,7.6,44.467
176,2001/ 6/26,0.0,5.1,38.2
177,2001/ 6/27,0.03,0.7,31.995
178,2001/ 6/28,1.19,12.0,27.8
179,2001/ 6/29,37.13,18.6,114.066
180,2001/ 6/30,41.76,326.5,493.419
181,2001/ 7/ 1,0.33,187.0,479.287
182,2001/ 7/ 2,0.57,103.9,158.678
183,2001/ 7/ 3,5.21,68.1,114.17
184,2001/ 7/ 4,0.05,50.6,89.203
185,2001/ 7/ 5,3.73,39.9,71.993
186,2001/ 7/ 6,0.0,40.0,62.729
187,2001/ 7/ 7,0.0,32.7,53.128
188,2001/ 7/ 8,0.0,22.0,44.778
189,2001/ 7/ 9,0.09,14.4,37.373
190,2001/ 7/10,13.1,24.8,47.789
191,2001/ 7/11,7.02,40.0,64.302
192,2001/ 7/12,0.01,32.8,64.069
193,2001/ 7/13,0.0,11.9,52.986
194,2001/ 7/14,33.31,25.5,145.337
195,2001/ 7/15,105.15,1478.2,1187.113
196,2001/ 7/16,0.07,713.4,1160.895
197,2001/ 7/17,0.0,262.7,232.471
198,2001/ 7/18,0.0,149.0,117.969
199,2001/ 7/19,0.09,90.6,85.672
200,2001/ 7/20,0.86,73.4,71.146
201,2001/ 7/21,12.15,66.4,83.9
202,2001/ 7/22,38.45,58.4,294.76
203,2001/ 7/23,39.82,1088.5,648.162
204,2001/ 7/24,0.67,341.8,505.465
205,2001/ 7/25,0.0,162.0,179.633
206,2001/ 7/26,0.34,103.1,116.735
207,2001/ 7/27,0.0,79.4,88.441
208,2001/ 7/28,5.94,62.5,81.94
209,2001/ 7/29,32.27,115.6,203.389
210,2001/ 7/30,47.1,445.9,638.209
211,2001/ 7/31,82.8,1656.8,1356.396
212,2001/ 8/ 1,22.4,1079.6,1149.969
213,2001/ 8/ 2,1.48,528.3,417.063
214,2001/ 8/ 3,3.19,300.1,202.141
215,2001/ 8/ 4,0.01,189.4,145.68
