date,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,mean,obs
2011_1,824.5189032258065,401.70463594470044,264.9224485407066,574.1651904761904,295.86887788018436,340.6873225806452,240.1231866359447,212.4765683563748,385.20012135176654,535.4148294930876,211.83885330261137,336.6794170506912,533.2031881720429,558.925251920123,396.9223870967742,644.2737542242703,271.0935253456221,376.0103356374808,362.0022265745008,224.58811981566822,239.046722734255,394.3492204301075,334.0696751152074,343.91855453149003,676.3335729646697,374.2713033794163,263.75442703533025,484.2317342549923,264.38617588325656,310.8840929339477,482.0769278033794,569.5726359447004,503.39561981566817,309.7144193548387,225.1210476190476,398.4748133640553,344.13306989247315,451.1314493087558,614.7127811059909,417.68766359447005,841.5599900153609,307.86892933947775,440.8738248847926,690.5440583717358,295.8547895545315,412.63717588325653,1067.5119906298003
2011_2,969.5376751152073,518.0353356374808,513.3760168970814,803.9313794162827,432.1425760368664,452.8512749615976,592.2637181259602,300.5110168970814,534.1685844854071,609.335569124424,548.81039093702,422.2167173579109,745.0101482334869,734.5025199692781,492.1666812596005,762.0268955453149,489.19263978494627,474.518930875576,530.8081159754224,350.0093225806452,396.67097619047615,688.393767281106,366.8373586789555,438.6250599078341,780.434841013825,477.57767127496163,482.61024577572965,651.1313371735791,350.8518686635945,851.9431697388633,523.0271751152073,603.1156620583718,847.456440860215,724.5971152073732,501.9528041474654,497.23978648233486,653.740831797235,804.1774462365591,792.6309738863288,578.7311244239631,881.5469592933949,613.748495391705,650.8448694316436,889.4374047619048,525.6707419354839,596.6315107526882,1183.130474500768
2011_3,1126.810505376344,630.6572473118279,609.4405376344087,891.6026666666667,698.5062365591398,514.9898064516129,684.2804086021506,430.15079569892475,611.5606774193549,757.2262043010753,563.2759677419355,479.399311827957,786.0327741935484,772.067870967742,583.9724086021505,1005.7489462365592,531.0121075268818,590.898688172043,987.1951290322581,526.8061505376344,511.1217634408602,768.7055806451613,449.8010967741936,550.4667204301074,1242.1434516129032,605.9869677419355,580.6867526881721,680.2536129032259,415.25383870967744,932.8748709677419,559.0697741935483,723.3727311827957,891.892247311828,989.8613548387096,702.0072365591398,509.4748064516129,784.7110215053764,1090.0164623655912,926.599,712.1472365591399,927.4626989247312,856.1307526881719,729.6961827956989,919.0208387096774,813.536129032258,725.6435806451613,1203.8945268817206
2011_4,1120.2033440860216,607.749129032258,713.0202365591399,880.0901720430107,716.0694946236559,512.1816881720431,677.7710645161291,448.2869462365591,611.8262365591398,746.4654731182796,570.9320430107526,472.87455913978494,770.5663225806451,740.343258064516,586.4768064516129,998.1425376344087,508.2596451612903,591.2306881720431,993.7151935483871,633.9358387096775,588.242376344086,763.2096989247311,459.599182795699,556.8220215053764,1237.6485161290323,626.0407634408602,611.9348817204302,671.4287311827957,502.2840752688172,926.9445161290323,528.5819462365592,729.4671720430107,932.6711827956989,1016.693247311828,705.5125591397849,561.6346236559141,796.7263333333333,1090.2217419354838,932.9288602150538,744.1359354838711,994.2525268817203,819.5502795698925,700.7683870967742,891.2926774193547,809.494870967742,735.5172903225806,1203.683172043011
2011_5,1154.6825806451616,623.1357526881721,779.5435483870967,794.0612795698925,787.3444623655914,536.2208064516129,726.7622473118279,470.6625913978495,582.4873548387097,764.7567956989247,607.1868709677418,415.3852795698924,830.4148064516129,691.233440860215,505.17347311827956,1023.0873655913979,580.0788387096774,560.3039784946236,997.9971935483871,657.0289569892473,609.2508494623656,807.5754408602149,480.366870967742,676.5135698924731,1256.8007849462365,627.7096451612904,643.8726881720429,681.7377956989247,549.6148817204302,960.2506344086022,548.4296666666667,782.0050860215053,909.7039892473118,1031.2289784946236,740.1369892473117,599.5045483870969,760.6238387096773,1072.1240322580645,930.9863440860214,754.9582365591397,1009.3331182795699,838.9591720430108,728.9545483870967,933.0418172043011,812.7947849462365,751.8679139784947,1170.0395053763443
2011_6,1095.0339677419356,566.4882903225807,725.0370430107527,658.573688172043,727.3247311827955,459.1763870967742,688.0200967741936,375.2995053763441,417.765376344086,682.0549677419356,568.4594946236558,364.2462365591399,795.3073333333332,594.9044193548386,441.53180645161285,893.6252043010753,446.2031505376345,511.8275376344086,932.8679139784946,538.2759784946236,548.8339892473118,722.565806451613,428.0270752688172,615.4641505376344,1136.534870967742,540.0897849462366,532.6697956989248,547.5749999999999,446.73541935483877,908.7593978494623,511.1964731182795,553.5560967741936,826.257064516129,941.4342365591397,649.406634408602,567.9550430107527,692.725494623656,987.3308279569893,826.9911827956989,677.0364838709677,907.4731397849464,721.6398924731184,634.4125161290322,846.8228494623655,702.5106021505377,665.6907204301075,1052.3135376344085
2011_7,955.899559139785,537.1163333333333,736.8376344086021,675.0445376344086,706.3507526881721,449.9861720430108,747.9910322580645,383.5929892473119,447.0381720430107,671.5534086021505,583.257752688172,393.8098494623656,553.9922580645161,405.0021720430107,460.13206451612905,824.9731612903225,475.7644946236559,541.3064516129032,913.8138602150539,582.3220215053763,545.489752688172,701.4223655913977,442.00455913978493,610.4101720430107,956.7550430107527,559.7894623655914,543.8448279569892,488.0049784946235,423.9583655913978,935.0500752688172,419.2825591397849,493.61974193548394,761.366376344086,949.2845913978493,639.5172580645161,522.1783978494624,712.8683010752688,977.128376344086,786.7397634408602,595.3119677419353,835.0140860215055,747.1614946236559,627.5705806451613,761.5396021505377,739.9868387096775,640.468,843.7296817204301
2011_8,382.8870752688172,304.47851056729706,544.5959176863181,380.39774638487205,508.5361631442343,277.00402002224695,646.7402588060808,311.29221134593996,295.319856136448,305.7846347793845,498.9139595847237,247.9209573600297,410.9922525027809,286.9401197626993,240.76623544679273,457.47539302929187,381.18990841675935,279.6487389692251,694.6272984797923,504.8203121987393,407.8244230626623,437.40134556915086,163.15158657767893,378.1539492028179,656.9497067111607,287.6609881349648,437.12740415276227,287.67868409343714,345.05711012235815,673.0851483129403,150.261063403782,342.0816696329254,534.5782732665925,747.4038272154245,514.1129410456061,208.52975120504266,550.1029647756766,793.5266544308492,410.61814979606976,415.3053781979978,236.47209306637004,610.2995609936967,332.5952287727104,344.390141638858,623.0925024100852,418.84054616240275,190.28955157582496
2011_9,254.5774315906563,134.85156581386727,303.5045736002966,122.35885836114203,370.61890656284766,184.3060166852058,185.70972339636634,156.14540860215052,122.83131368186875,249.93367074527256,110.68499777530587,177.55312754912867,177.14229810901,64.2249992584353,123.08550092695589,269.3599718205414,142.03337968112717,150.46977530589547,403.91779124953655,315.4253229514275,209.25203633667041,61.97269113830182,123.05068668891363,253.71595958472378,483.8195587690025,181.23688431590656,179.33432999629215,87.02044864664443,181.5136529477197,84.08450685947348,125.94888950685946,292.41396180941786,165.76339265850945,354.3402217278457,225.86524063774561,142.92967259918427,144.99662995921395,380.4617701149425,212.46042380422693,215.8559944382647,196.9149132369299,264.62316314423435,124.941332962551,131.90090248424175,321.9517059695958,203.66811012235817,87.3005838338895
2011_10,164.53692139414164,77.95744011865035,378.3268665183537,67.982929180571,151.52635632183907,164.44000037078234,164.66585836114203,166.50440860215053,135.63825064886913,160.98195513533554,220.5264338153504,214.90491212458286,253.79750537634408,173.86054022988506,134.84911457174638,132.28401408972934,244.98628476084536,113.9354734890619,105.60428476084539,205.2093088616982,172.13074008157213,74.39875565443084,87.8174141638858,216.48279273266593,103.4418516870597,91.19301186503523,163.25544271412681,110.8382892102336,184.5687456433074,122.25621208750462,170.73789284390062,247.4738539117538,166.06495105672968,140.09833370411567,120.86191916944755,190.71879644048943,219.33459510567297,164.58910233592883,135.48712977382277,140.43559251019653,236.67065443084908,88.19506192065256,138.33567556544307,185.7602009640341,161.61856321839082,161.44949573600297,162.51355050055616
2011_11,142.02083611420096,73.42757879124953,313.72429477196886,66.44049721913238,152.76583945124213,163.6583518724509,192.4157493511309,250.5911093807935,141.0227144975899,148.35685502410087,222.4363359288098,200.4128613274008,253.11859584723766,188.09449462365592,195.03150834260288,194.57329328883944,254.985808676307,108.92647348906192,178.0083492769744,100.13381609195403,112.50830255839821,69.85965628476085,99.68724360400445,236.23598628105302,132.5338268446422,142.902332962551,237.30807601038188,150.61006451612906,81.10723507601037,123.01740897293288,323.9162202447163,292.55053726362627,176.1621568409344,103.80347534297367,108.51854616240267,170.85639747868,246.12393770856505,203.66841342232107,167.76253318502037,167.61846755654432,211.08995291064147,107.70423322209862,168.24276010381905,220.6740752688172,219.5395346681498,173.643965146459,172.61055050055617
2011_12,196.98938709677418,105.20561253244345,358.8227274749722,134.30038746755653,213.030787541713,187.77419095291063,179.83505079718205,288.8994267704857,216.88001965146458,171.92999814608825,252.13402669632924,418.5981920652577,494.39477345198367,233.33337671486836,360.9301227289581,221.31238598442715,206.7156603633667,187.8886129032258,193.67530070448646,138.0338201705599,203.5897107897664,95.80826177233965,161.65232925472748,405.250525398591,156.28424619948092,208.0991535038932,341.782262143122,209.7679284390063,97.39426622172783,242.37054356692624,462.0429384501298,351.9088142380423,207.1892454579162,162.6027041156841,169.16710048201708,223.22007786429367,317.6103018168335,268.31431664812754,283.75329551353354,281.56652725250274,211.9851301446051,179.71542491657397,321.69289543937714,225.48394289951796,463.7001783463107,244.72669521690767,168.68831716722283
2012_1,843.6953018168334,415.49299592139414,277.72735520949203,607.1202150537634,312.3614230626622,355.43785094549503,253.54832962550984,228.28804449388207,400.5375190952911,552.3098876529477,225.11070522803112,348.978319243604,547.8859010011124,576.5056840934371,411.88776603633676,659.0751609195403,285.61238487208016,399.50149870226176,375.5838954393771,236.52072265480163,253.21357137560256,410.53297441601785,347.092305524657,360.0000604375232,690.3389373377827,390.7186978123841,276.7172925472747,501.17946273637375,283.6815658138672,327.92102595476456,498.0846640711902,582.6494304783092,527.6024627363738,401.6530611790879,252.53825732295144,447.8230022246941,357.8498138672599,465.1165150166852,627.6437026325548,434.8129117538005,857.1952417500928,322.55144827586207,457.2068628105302,703.8939202817946,308.99061364479047,431.11270745272526,304.82186555431963
2012_2,986.4322602892101,537.0714571746385,529.2767908787542,821.9649681127178,459.75011494252874,468.35084427141277,609.7288057100483,325.88028735632184,550.2726121616611,624.3986054875788,568.2292918057101,436.91817723396366,761.6693062662217,749.8444742306266,508.2253622543567,840.1661230997404,505.69365035224325,491.3501894697812,575.8205806451613,366.672254727475,414.14916351501665,719.4793121987393,381.9829013718947,456.35027141268074,836.4063711531331,492.2688965517242,499.6095728587319,666.3750433815351,368.8270563589173,869.5688516870596,539.3839002595477,621.4332131998517,864.37241638858,740.1330682239525,524.3496258806081,512.1789940674823,712.4194371523915,823.1924920281795,807.4469888765295,594.7445176121616,897.2763652206155,631.8947393400074,665.9732840192806,905.4077601038191,544.449721913237,617.9388439006302,456.1944139414164
