date,rain,obs_flow,et,temp
1966-01-01,0.25,,0.34,-4.13
1966-01-02,0,,0.58,-4.5
1966-01-03,0.21,,0.44,-4.76
1966-01-04,0,,0.51,-4.8
1966-01-05,0.83,,0.44,-5
1966-01-06,0.58,,0.45,-5.2
1966-01-07,0,,0.93,-4.9
1966-01-08,0.22,,0.4,-4.7
1966-01-09,2.77,,0.32,-4.7
1966-01-10,2.77,,0.25,-4.8
1966-01-11,0,,0.31,-5
1966-01-12,0,,0.32,-5.3
1966-01-13,0.01,,1.5,-5.33
1966-01-14,0.49,,0.5,-5.23
1966-01-15,0.55,,0.4,-5.13
1966-01-16,0,,0.28,-4.93
1966-01-17,0,,0.37,-4.73
1966-01-18,0,,0.38,-4.8
1966-01-19,0,,0.78,-5
1966-01-20,0,,0.51,-5
1966-01-21,0,,0.51,-5.23
1966-01-22,0,,1.11,-5.33
1966-01-23,0,,0.79,-5.4
1966-01-24,0.03,,0.83,-5.33
1966-01-25,0.04,,0.65,-5.4
1966-01-26,0,,0.64,-5.4
1966-01-27,0.2,,1.44,-5.2
1966-01-28,0.06,,0.67,-5.1
1966-01-29,0,,0.63,-5
1966-01-30,0.01,,0.67,-4.9
1966-01-31,0,,0.59,-4.9
1966-02-01,0,,0.66,-4.93
1966-02-02,0.24,,0.56,-4.93
1966-02-03,0.01,,0.62,-4.7
1966-02-04,0,,0.57,-4.43
1966-02-05,0,,0.45,-4
1966-02-06,0,,0.57,-3.6
1966-02-07,0.01,,0.51,-3.33
1966-02-08,0,,0.77,-3.2
1966-02-09,5.07,,0.8,-3.2
1966-02-10,12.4,,0.82,-3
1966-02-11,0.32,,0.73,-2.67
1966-02-12,0.01,,0.77,-2.27
1966-02-13,0.04,,0.74,-1.87
1966-02-14,0.01,,0.7,-1.77
1966-02-15,1.37,,0.77,-1.63
1966-02-16,1.48,,0.97,-1.53
1966-02-17,0,,0.91,-1.43
1966-02-18,0.5,,0.86,-1.5
1966-02-19,0,,0.91,-1.4
1966-02-20,0.43,,1.01,-1.07
1966-02-21,3.25,,0.82,-1
1966-02-22,2.26,,0.95,-0.9
1966-02-23,0.18,,1.53,-0.9
1966-02-24,0.03,,0.89,-0.6
1966-02-25,0.04,,1.48,-0.6
1966-02-26,0,,1.51,-0.4
1966-02-27,0,,1.33,-0.1
1966-02-28,0,,1.57,0.1
1966-03-01,2.4,,1.78,0.47
1966-03-02,1.98,,2.07,0.67
1966-03-03,0.7,,0.74,0.77
1966-03-04,5.77,,2.14,0.9
1966-03-05,3.24,,1.75,0.87
1966-03-06,8.19,,1.62,0.87
1966-03-07,2.18,,1.46,1.17
1966-03-08,0.34,,1.4,1.37
1966-03-09,0.25,,1.7,1.77
1966-03-10,0.07,,1.32,2.17
1966-03-11,0,,1.62,2.67
1966-03-12,0,,1.32,2.93
1966-03-13,0.05,,1.83,3.1
1966-03-14,0.05,,2.05,3.3
1966-03-15,3.63,,2.87,3.43
1966-03-16,4.02,,2.04,3.63
1966-03-17,3.58,,1.09,3.87
1966-03-18,8.83,,2.31,4.13
1966-03-19,2.79,,2.47,4.4
1966-03-20,0.03,,2.39,4.7
1966-03-21,1.57,,1.4,4.87
1966-03-22,2.88,,1.93,4.77
1966-03-23,1.15,,2.24,4.77
1966-03-24,4.32,,2.32,4.67
1966-03-25,0.22,,2.14,4.7
1966-03-26,0.12,,1.28,4.8
1966-03-27,0.93,,1.73,5.17
1966-03-28,4.1,,2.81,5.47
1966-03-29,0.95,,2.49,5.77
1966-03-30,0.04,,1.2,6.07
1966-03-31,0,,1.78,6.37
1966-04-01,0,,1.81,6.47
1966-04-02,0,,3.07,6.8
1966-04-03,0,,2.66,7.43
1966-04-04,0,,2.98,7.8
1966-04-05,0.02,,3,8.3
1966-04-06,0.05,,3.23,8.77
1966-04-07,0.42,,3.61,9.23
1966-04-08,0,,1.43,9.4
1966-04-09,0,,2.9,9.5
1966-04-10,0.29,,1.48,9.4
1966-04-11,0,,3.25,9.4
1966-04-12,0,,3.03,9.4
1966-04-13,0,,3.32,9.6
1966-04-14,0.06,,3.93,9.8
1966-04-15,2.89,,3.97,10.23
1966-04-16,2.63,,3.48,10.8
1966-04-17,0,,2.63,10.97
1966-04-18,0,,2.84,11.27
1966-04-19,0,,1.6,11.53
1966-04-20,0,,2.99,11.73
1966-04-21,0,,4,11.77
1966-04-22,0,,3.27,11.87
1966-04-23,0.28,,3.64,12
1966-04-24,0.08,,3.9,12
1966-04-25,8.66,,4.09,12.1
1966-04-26,19.04,,3.39,12.3
1966-04-27,1.88,,2.23,12.47
1966-04-28,0.55,,3.86,12.77
1966-04-29,0.02,,3.96,12.97
1966-04-30,0,,2.02,13.27
1966-05-01,6.51,,4.71,13.6
1966-05-02,3.69,,4.94,13.87
1966-05-03,0,,4.3,14.2
1966-05-04,0,,4.49,14.37
1966-05-05,0,,3.97,14.47
1966-05-06,0.87,,3.67,14.57
1966-05-07,7.61,,5.26,14.57
1966-05-08,2.01,,2.99,14.53
1966-05-09,0.24,,2.87,14.63
1966-05-10,20.45,,4.18,14.83
1966-05-11,2.63,,4.52,14.7
1966-05-12,0.89,,4.5,14.6
1966-05-13,0.05,,4.55,14.63
1966-05-14,4.53,,5.05,14.73
1966-05-15,3.37,,4.59,14.77
1966-05-16,0.37,,4.02,14.97
1966-05-17,0,,4.85,15.3
1966-05-18,0,,4.72,15.6
1966-05-19,0.19,,5.68,15.8
1966-05-20,0.05,,5,16
1966-05-21,0.24,,4.35,16.27
1966-05-22,0,,4.98,16.33
1966-05-23,0,,2.61,16.33
1966-05-24,0,,3.52,16.43
1966-05-25,0,,2.27,16.53
1966-05-26,0,,4.39,16.53
1966-05-27,0,,4.79,16.73
1966-05-28,0,,4.77,17
1966-05-29,0,,5.32,17.2
1966-05-30,0.08,,5.04,17.4
1966-05-31,0.29,,3.94,17.67
1966-06-01,0,,3.89,17.77
1966-06-02,0.02,,4.83,17.97
1966-06-03,3.12,,2.39,18.17
1966-06-04,5.46,,3.12,18.47
1966-06-05,13.28,,4.83,18.67
1966-06-06,0.67,,4.64,18.77
1966-06-07,0.01,,5.99,18.77
1966-06-08,0.37,,3.31,18.8
1966-06-09,2.27,,1.92,18.87
1966-06-10,0.17,,2.61,18.9
1966-06-11,0,,3.71,19.1
1966-06-12,0,,4.33,19.3
1966-06-13,0,,4.73,19.5
1966-06-14,0,,4.8,19.57
1966-06-15,0,,5.04,19.67
1966-06-16,0,,4.79,19.77
1966-06-17,0,,2.37,19.87
1966-06-18,1.86,,4.2,19.97
1966-06-19,2.83,,4.42,20.07
1966-06-20,0.08,,3.57,20.17
1966-06-21,0.01,,4.25,20.23
1966-06-22,0,,4.87,20.3
1966-06-23,2.07,,5.26,20.33
1966-06-24,73.23,,3.91,20.43
1966-06-25,117.31,,3.04,20.53
1966-06-26,28.2,,4.5,20.73
1966-06-27,6.33,,2.54,21
1966-06-28,9.92,,2.73,21.2
1966-06-29,0.02,,4.44,21.2
1966-06-30,0.17,,3.72,21.27
1966-07-01,2.01,,2.32,21.3
1966-07-02,1.48,,2.24,21.4
1966-07-03,0.99,,3.03,21.5
1966-07-04,2.32,,2.97,21.7
1966-07-05,2.09,,4.88,21.8
1966-07-06,3.58,,4.32,21.9
1966-07-07,16.74,,4.71,22
1966-07-08,3.74,,5.06,22.1
1966-07-09,2.16,,5.07,22.03
1966-07-10,0.2,,5.07,22.03
1966-07-11,3.31,,4,22.13
1966-07-12,2,,2.17,22.23
1966-07-13,2.76,,2.39,22.3
1966-07-14,76.83,,5.28,22.3
1966-07-15,97.29,,3.69,22.4
1966-07-16,50.83,,4.54,22.53
1966-07-17,26.87,,5.45,22.63
1966-07-18,10.96,,5.88,22.83
1966-07-19,13.04,,2.51,23.13
1966-07-20,55.32,,2.4,23.43
1966-07-21,23.83,,3.88,23.53
1966-07-22,36.98,,2.83,23.67
1966-07-23,107.13,,2.71,23.57
1966-07-24,93.15,,4.24,23.57
1966-07-25,90.71,,5.94,23.47
1966-07-26,11.81,,5.84,23.47
1966-07-27,5.71,,4.05,23.63
1966-07-28,4.24,,4.15,23.83
1966-07-29,7.79,,3.87,24.13
1966-07-30,4.72,,3.91,24.43
1966-07-31,11.42,,4.84,24.53
1966-08-01,17.67,,3.86,24.53
1966-08-02,5.17,,3.56,24.47
1966-08-03,2.21,,2.92,24.33
1966-08-04,2.57,,5.24,24.23
1966-08-05,4.27,,4.18,24.07
1966-08-06,0.08,,2.18,24
1966-08-07,2.16,,3.74,24
1966-08-08,4.89,,3.18,24
1966-08-09,2.28,,3.37,23.9
1966-08-10,6.23,,2.7,23.9
1966-08-11,11.81,,3.08,23.87
1966-08-12,4.6,,2.18,23.8
1966-08-13,0,,2.5,23.77
1966-08-14,0.09,,3.03,23.6
1966-08-15,0.97,,2.05,23.47
1966-08-16,19.21,,2.01,23.27
1966-08-17,32.51,,3.34,23.07
1966-08-18,4.02,,2.75,22.87
1966-08-19,8.92,,2.63,22.7
1966-08-20,20.68,,3.09,22.6
1966-08-21,5.13,,4.33,22.33
1966-08-22,3.11,,3.86,22.13
1966-08-23,11.76,,2.08,21.93
1966-08-24,8.26,,3.5,21.83
1966-08-25,1.37,,3.76,21.6
1966-08-26,0.19,,2.93,21.53
1966-08-27,0,,2.82,21.5
1966-08-28,0,,2.06,21.5
1966-08-29,0,,2.6,21.5
1966-08-30,4.84,,2.18,21.43
1966-08-31,3.84,,3.13,21.33
1966-09-01,12.92,,4.03,21.23
1966-09-02,9.72,,1.89,20.93
1966-09-03,3.44,,1.89,20.6
1966-09-04,16.21,,1.87,20.33
1966-09-05,54.34,,1.74,20.03
1966-09-06,28.65,,1.96,19.93
1966-09-07,24.67,,2.6,19.83
1966-09-08,5.99,,2.43,19.63
1966-09-09,1.41,,3.55,19.37
1966-09-10,3.77,,2.22,19.17
1966-09-11,17.43,,3.25,18.8
1966-09-12,0.91,,3.75,18.5
1966-09-13,3.2,,3.66,18.3
1966-09-14,0,,3.49,18.2
1966-09-15,0,,2.92,18
1966-09-16,0,,3.57,17.9
1966-09-17,0.89,,3.13,17.8
1966-09-18,0,,2.34,17.63
1966-09-19,0,,2.31,17.33
1966-09-20,0.24,,3.11,17.03
1966-09-21,1.25,,3.44,16.73
1966-09-22,1.37,,2.7,16.63
1966-09-23,0,,2.04,16.33
1966-09-24,0.98,,2.36,16.13
1966-09-25,5.75,,2.68,16.03
1966-09-26,0.11,,2.34,15.83
1966-09-27,0,,2.77,15.53
1966-09-28,0,,2.51,15.27
1966-09-29,0,,2.8,15.17
1966-09-30,0,,2.42,14.97
1966-10-01,0,,1.5,14.8
1966-10-02,1.18,,2.56,14.57
1966-10-03,0.83,,2.11,14.37
1966-10-04,0.14,,2.06,14.1
1966-10-05,0,,1.87,13.9
1966-10-06,0,,1.99,13.6
1966-10-07,0,,2.29,13.5
1966-10-08,0.05,,2.04,13.47
1966-10-09,4.95,,1.77,13.47
1966-10-10,8.85,,1.73,13.47
1966-10-11,15.12,,1.78,13.27
1966-10-12,4.69,,1.03,13.07
1966-10-13,4.18,,1.76,12.77
1966-10-14,1.1,,2.18,12.47
1966-10-15,6.59,,1.92,12.1
1966-10-16,6.04,,1.53,11.83
1966-10-17,0.94,,1.81,11.53
1966-10-18,0,,1.74,11.13
1966-10-19,0,,1.78,10.8
1966-10-20,0.02,,1.59,10.43
1966-10-21,0,,2.84,10.1
1966-10-22,0,,2.57,9.9
1966-10-23,0,,1.61,9.73
1966-10-24,0.08,,2.01,9.53
1966-10-25,3.78,,2.05,9.3
1966-10-26,0.84,,2.61,9.2
1966-10-27,2.38,,1.99,9
1966-10-28,1.07,,1.76,8.73
1966-10-29,0.22,,1.08,8.53
1966-10-30,0,,2.23,8.33
1966-10-31,0,,0.98,8.03
1966-11-01,0,,0.78,7.8
1966-11-02,4.4,,1.31,7.57
1966-11-03,0,,1.43,7.53
1966-11-04,0,,1.16,7.53
1966-11-05,0.03,,1.37,7.67
1966-11-06,0.33,,1.07,7.53
1966-11-07,0,,1.23,7.43
1966-11-08,0,,0.87,6.93
1966-11-09,0,,1.41,6.63
1966-11-10,0,,1.02,6.33
1966-11-11,0.01,,0.57,6.13
1966-11-12,0.16,,1.93,6.03
1966-11-13,8.3,,0.88,5.73
1966-11-14,1.58,,0.6,5.23
1966-11-15,0.04,,1.64,4.63
1966-11-16,1.95,,0.66,3.93
1966-11-17,1.99,,0.69,3.3
1966-11-18,0.02,,0.56,3
1966-11-19,1.61,,0.69,2.83
1966-11-20,1.93,,1.18,2.63
1966-11-21,0.61,,0.71,2.97
1966-11-22,0.01,,0.47,3
1966-11-23,1.56,,0.45,2.8
1966-11-24,13.87,,0.92,2.57
1966-11-25,3.59,,1.33,2.37
1966-11-26,1.61,,0.79,1.9
1966-11-27,0.04,,0.45,1.67
1966-11-28,0.15,,0.9,1.57
1966-11-29,0.15,,1.02,1.37
1966-11-30,1.75,,1.57,1.17
1966-12-01,0.04,,0.5,0.8
1966-12-02,0,,0.48,0.5
1966-12-03,0.01,,0.46,0.2
1966-12-04,0.39,,0.46,-0.1
1966-12-05,0.02,,0.98,-0.13
1966-12-06,0,,0.42,-0.1
1966-12-07,0.27,,1.09,-0.23
1966-12-08,0.53,,0.96,-0.3
1966-12-09,0.47,,0.85,-0.3
1966-12-10,0.13,,0.53,-0.7
1966-12-11,0.8,,0.53,-0.96
1966-12-12,0.79,,0.4,-1.26
1966-12-13,0,,0.39,-1.8
1966-12-14,0,,0.75,-2.1
1966-12-15,0.09,,0.97,-2.3
1966-12-16,0,,0.78,-2.8
1966-12-17,1.25,,0.51,-2.8
1966-12-18,0.51,,0.38,-2.7
1966-12-19,0.02,,0.67,-2.5
1966-12-20,0.51,,1.22,-2.3
1966-12-21,0.07,,1.01,-1.96
1966-12-22,0.04,,0.75,-1.9
1966-12-23,0,,0.61,-2
1966-12-24,0.38,,0.33,-2.4
1966-12-25,1.75,,0.26,-2.8
1966-12-26,1.89,,0.65,-3.2
1966-12-27,0,,0.61,-3.6
1966-12-28,0,,0.54,-4
1966-12-29,0,,0.59,-4
1966-12-30,0,,0.25,-4.2
1966-12-31,0.24,,0.46,-4.23
1967-01-01,4.38,,0.34,-5.4
1967-01-02,0.04,,0.58,-13
1967-01-03,0,,0.44,-15.2
1967-01-04,0,,0.51,-13.4
1967-01-05,0.01,,0.44,-10.2
1967-01-06,0.39,,0.45,-3.4
1967-01-07,0.05,,0.93,-6.2
1967-01-08,0,,0.4,-12.3
1967-01-09,0,,0.32,-13.6
1967-01-10,0.24,,0.25,-14.1
1967-01-11,0.17,,0.31,-8.9
1967-01-12,0.5,,0.32,-8.6
1967-01-13,0.09,,1.5,-6.3
1967-01-14,0,,0.5,-13.5
1967-01-15,0,,0.4,-17.7
1967-01-16,1.55,,0.28,-17.8
1967-01-17,0.05,,0.37,-13.2
1967-01-18,0,,0.38,-10.6
1967-01-19,0,,0.78,-1
1967-01-20,0,,0.51,-2.7
1967-01-21,0,,0.51,-3.2
1967-01-22,0,,1.11,-0.3
1967-01-23,0,,0.79,-3.7
1967-01-24,0,,0.83,0.5
1967-01-25,0,,0.65,-0.5
1967-01-26,0.07,,0.64,-0.9
1967-01-27,2.14,,1.44,1.6
1967-01-28,5.32,,0.67,1.1
1967-01-29,1.96,,0.63,0.2
1967-01-30,1.22,,0.67,-6.1
1967-01-31,0,,0.59,-9.5
1967-02-01,0,,0.66,-9.7
1967-02-02,0,,0.56,-9.6
1967-02-03,0.18,,0.62,-7.1
1967-02-04,0.04,,0.57,-6.8
1967-02-05,0.26,,0.45,-3.8
1967-02-06,0.72,,0.57,-2.6
1967-02-07,0.47,,0.51,-0.7
1967-02-08,0.45,,0.77,-1.2
1967-02-09,0,,0.8,-1.6
1967-02-10,0,,0.82,-6
1967-02-11,0,,0.73,-8.6
1967-02-12,0,,0.77,-11.6
1967-02-13,0,,0.74,-10.9
1967-02-14,0,,0.7,-10.1
1967-02-15,0.03,,0.77,-10.4
1967-02-16,0.03,,0.97,-7.2
1967-02-17,0.54,,0.91,-8.6
1967-02-18,0,,0.86,-7.6
1967-02-19,0,,0.91,-6.4
1967-02-20,0.1,,1.01,-1
1967-02-21,5.99,,0.82,3.4
1967-02-22,8.99,,0.95,5.8
1967-02-23,3.82,,1.53,2.3
1967-02-24,0,,0.89,1.2
1967-02-25,0,,1.48,1
1967-02-26,0,,1.51,-0.7
1967-02-27,0,,1.33,-1
1967-02-28,0,,1.57,-1.3
1967-03-01,0,,1.78,2.3
1967-03-02,0.07,,2.07,6.5
1967-03-03,10.79,,0.74,1.5
1967-03-04,3.11,,2.14,3.2
1967-03-05,2.13,,1.75,-1
1967-03-06,0.01,,1.62,-2.2
1967-03-07,0.09,,1.46,-1.1
1967-03-08,0,,1.4,-0.3
1967-03-09,0,,1.7,3.1
1967-03-10,0.04,,1.32,4.3
1967-03-11,0.6,,1.62,3.5
1967-03-12,0.14,,1.32,6.1
1967-03-13,0.05,,1.83,6
1967-03-14,0,,2.05,7.1
1967-03-15,0,,2.87,10
1967-03-16,0,,2.04,7.4
1967-03-17,1.51,,1.09,4.9
1967-03-18,0.43,,2.31,7.8
1967-03-19,0,,2.47,6.4
1967-03-20,0.33,,2.39,6.4
1967-03-21,0.39,,1.4,7.2
1967-03-22,2.1,,1.93,3.2
1967-03-23,0,,2.24,0.5
1967-03-24,1.86,,2.32,2.2
1967-03-25,5.64,,2.14,5.9
1967-03-26,7.31,,1.28,3.6
