date,rain,obs_flow,et,temp,,,
1966-01-01,0,,0.69,-0.5,,,
1966-01-02,0,,1.17,-0.7,,,
1966-01-03,0,,1.2,-0.9,,,
1966-01-04,0,,1.18,-0.9,,,
1966-01-05,0,,1.41,-1,,,
1966-01-06,0,,1.28,-1.3,,,
1966-01-07,0,,1.55,-1.1,,,
1966-01-08,0.05,,1.22,-0.9,,,
1966-01-09,0,,1.45,-0.9,,,
1966-01-10,2.23,,1.23,-0.9,,,
1966-01-11,0.21,,0.95,-1,,, 
1966-01-12,0,,1.1,-1.2,,,
1966-01-13,0,,1.57,-1.2,,,
1966-01-14,0,,1.45,-1.3,,,
1966-01-15,0,,1.03,-1.3,,,
1966-01-16,0,,1.15,-1.2,,,
1966-01-17,0,,1.16,-1.1,,,
1966-01-18,0,,1.65,-1.1,,,
1966-01-19,0,,1.6,-1.2,,,
1966-01-20,0,,1.73,-1.2,,,
1966-01-21,0,,2.39,-1.4,,,
1966-01-22,0,,2.05,-1.5,,,
1966-01-23,0,,2.05,-1.6,,,
1966-01-24,0,,1.96,-1.5,,,
1966-01-25,0,,1.39,-1.5,,,
1966-01-26,0,,1.97,-1.6,,,
1966-01-27,0,,1.9,-1.5,,,
1966-01-28,0.13,,0.92,-1.4,,,
1966-01-29,0,,0.74,-1.3,,,
1966-01-30,0,,0.96,-1.3,,,
1966-01-31,0,,1.2,-1.3,,,
1966-02-01,0,,1.67,-1.3,,,
1966-02-02,0,,1.49,-1.3,,,
1966-02-03,0,,1.46,-1.1,,,
1966-02-04,0,,1.82,-0.8,,,
1966-02-05,0,,1.4,-0.5,,,
1966-02-06,0,,1.72,-0.1,,,
1966-02-07,0,,1.15,0.1,,,
1966-02-08,0,,0.8,0.2,,,
1966-02-09,0.04,,0.76,0.3,,,
1966-02-10,14.15,,1.45,0.4,,,
1966-02-11,0.23,,1.5,0.7,,,
1966-02-12,0,,1.69,1.1,,,
1966-02-13,0,,1.57,1.3,,,
1966-02-14,0,,1.57,1.3,,,
1966-02-15,0.08,,1.26,1.3,,,
1966-02-16,10.03,,1.75,1.2,,,
1966-02-17,1.49,,1.85,1.3,,,
1966-02-18,0,,1.97,1.3,,,
1966-02-19,0.46,,2.28,1.4,,,
1966-02-20,19.75,,1.7,1.5,,,
1966-02-21,3.78,,0.97,1.7,,,
1966-02-22,3.09,,1.35,1.8,,,
1966-02-23,3.06,,2.48,1.8,,,
1966-02-24,0,,0.94,1.9,,,
1966-02-25,0,,1.98,2,,,
1966-02-26,0,,2.02,2.2,,,
1966-02-27,0,,2.09,2.5,,,
1966-02-28,0,,1.94,2.7,,,
1966-03-01,7.19,,2.3,3,,,
1966-03-02,2.41,,2.72,3.2,,,
1966-03-03,20.41,,2.71,3.3,,,
1966-03-04,10.52,,2.05,3.4,,,
1966-03-05,6.81,,1.96,3.3,,,
1966-03-06,28.52,,2.24,3.4,,,
1966-03-07,7.22,,1.95,3.5,,,
1966-03-08,0.01,,2.08,3.7,,,
1966-03-09,0,,2.47,4,,,
1966-03-10,0,,1.74,4.5,,,
1966-03-11,0,,2.16,4.9,,,
1966-03-12,0,,2.61,5.1,,,
1966-03-13,0,,2.19,5.3,,,
1966-03-14,2.15,,2.19,5.5,,,
1966-03-15,8.42,,2.44,5.6,,,
1966-03-16,0.78,,1.98,5.8,,,
1966-03-17,6.93,,1.63,6,,,
1966-03-18,9.62,,2.16,6.2,,,
1966-03-19,1.08,,2.7,6.5,,,
1966-03-20,0.29,,3.2,6.7,,,
1966-03-21,3.15,,1.21,6.8,,,
1966-03-22,15.06,,2.42,6.6,,,
1966-03-23,0.01,,2.5,6.6,,,
1966-03-24,0.24,,3.01,6.6,,,
1966-03-25,0,,3.63,6.8,,,
1966-03-26,0,,1.29,6.9,,,
1966-03-27,0,,2.86,7.2,,,
1966-03-28,3.46,,3.03,7.4,,,
1966-03-29,3.92,,3.54,7.7,,,
1966-03-30,0,,1.29,8,,,
1966-03-31,0,,3.21,8.2,,,
1966-04-01,0,,2.92,8.5,,,
1966-04-02,0,,1.6,8.7,,,
1966-04-03,0,,2.27,9.2,,,
1966-04-04,0,,4.34,9.6,,,
1966-04-05,0,,4,10,,,
1966-04-06,2.44,,3.45,10.3,,,
1966-04-07,0.48,,2.64,10.6,,,
1966-04-08,0,,1.54,10.7,,,
1966-04-09,0.12,,1.51,10.7,,,
1966-04-10,0,,1.36,10.6,,,
1966-04-11,0,,2.52,10.8,,,
1966-04-12,0,,2.87,10.9,,,
1966-04-13,0,,3.07,11,,,
1966-04-14,0.08,,3.29,11.2,,,
1966-04-15,0,,3.17,11.6,,,
1966-04-16,0.06,,1.86,12,,,
1966-04-17,0,,2.38,12.2,,,
1966-04-18,0,,1.84,12.5,,,
1966-04-19,0.18,,1.42,12.8,,,
1966-04-20,0,,3.85,12.9,,,
1966-04-21,5.78,,4.77,13,,,
1966-04-22,0.57,,3.41,13.2,,,
1966-04-23,0,,3.43,13.3,,,
1966-04-24,0,,3.8,13.5,,,
1966-04-25,16.51,,4.02,13.6,,,
1966-04-26,4.71,,4.03,13.7,,,
1966-04-27,0.83,,2.29,13.9,,,
1966-04-28,0.01,,2.92,14.3,,,
1966-04-29,0.61,,4.52,14.5,,,
1966-04-30,0.15,,2.67,14.7,,,
1966-05-01,14.49,,4.41,14.9,,,
1966-05-02,9.5,,5.3,15.2,,,
1966-05-03,0,,4.4,15.2,,,
1966-05-04,0,,4.66,15.4,,,
1966-05-05,0,,5.31,15.5,,,
1966-05-06,0,,4.03,15.7,,,
1966-05-07,8.64,,3.31,15.8,,,
1966-05-08,0.66,,2.85,15.8,,,
1966-05-09,0,,1.89,15.8,,,
1966-05-10,6.73,,4.09,15.9,,,
1966-05-11,0,,6.07,15.8,,,
1966-05-12,0,,4.92,15.7,,,
1966-05-13,0,,5.44,15.7,,,
1966-05-14,4.33,,5.09,15.8,,,
1966-05-15,0.79,,4.22,15.8,,,
1966-05-16,0,,5.81,16,,,
1966-05-17,0,,4.79,16.3,,,
1966-05-18,0,,5.54,16.7,,,
1966-05-19,0,,3.5,17,,,
1966-05-20,8.71,,3.95,17.3,,,
1966-05-21,0.75,,2.97,17.6,,,
1966-05-22,0,,2.46,17.6,,,
1966-05-23,0,,4.21,17.5,,,
1966-05-24,0,,5.02,17.5,,,
1966-05-25,0,,4.96,17.5,,,
1966-05-26,0,,3.74,17.4,,,
1966-05-27,0,,5.22,17.6,,,
1966-05-28,4.41,,4.18,17.8,,,
1966-05-29,3.33,,3.33,17.9,,,
1966-05-30,0,,4.86,18.1,,,
1966-05-31,0.75,,5.9,18.3,,,
1966-06-01,0,,5.52,18.5,,,
1966-06-02,0,,4.46,18.8,,,
1966-06-03,0.95,,4.9,18.9,,,
1966-06-04,2.03,,5.01,19.2,,,
1966-06-05,2.17,,5.07,19.4,,,
1966-06-06,0,,3.77,19.4,,,
1966-06-07,0,,5.11,19.4,,,
1966-06-08,0.18,,2.8,19.5,,,
1966-06-09,2.22,,2.53,19.5,,,
1966-06-10,22.94,,4.08,19.5,,,
1966-06-11,0.11,,4.82,19.7,,,
1966-06-12,0,,4.88,19.8,,,
1966-06-13,0,,5.73,19.9,,,
1966-06-14,0,,5.2,19.9,,,
1966-06-15,0,,5.34,20,,,
1966-06-16,0,,2.53,20.2,,,
1966-06-17,0,,4.67,20.3,,,
1966-06-18,0.88,,4.31,20.4,,,
1966-06-19,14.81,,2.98,20.5,,,
1966-06-20,0.21,,2.46,20.6,,,
1966-06-21,0,,3.28,20.6,,,
1966-06-22,0,,2.7,20.7,,,
1966-06-23,0,,5.27,20.8,,,
1966-06-24,20.62,,4.67,20.9,,,
1966-06-25,62.01,,2.47,21.1,,,
1966-06-26,10.59,,4.27,21.3,,,
1966-06-27,8.65,,2.27,21.4,,,
1966-06-28,0,,2.09,21.6,,,
1966-06-29,0.41,,4.41,21.7,,,
1966-06-30,2.97,,3.26,21.8,,,
1966-07-01,20.83,,2.33,21.9,,,
1966-07-02,0.3,,3.7,22,,,
1966-07-03,0,,3.78,22.1,,,
1966-07-04,3.54,,2.41,22.3,,,
1966-07-05,0.05,,2.27,22.3,,,
1966-07-06,3.2,,2.45,22.4,,,
1966-07-07,18.77,,2.77,22.5,,,
1966-07-08,0.74,,2.22,22.6,,,
1966-07-09,0,,4.27,22.5,,,
1966-07-10,0.07,,3.83,22.6,,,
1966-07-11,11.37,,4.13,22.6,,,
1966-07-12,4.35,,2.36,22.7,,,
1966-07-13,0.4,,3.5,22.7,,,
1966-07-14,1.52,,3.62,22.8,,,
1966-07-15,0.27,,5.22,23,,,
1966-07-16,1.55,,5.32,23.2,,,
1966-07-17,12.05,,6.13,23.4,,,
1966-07-18,0.45,,4.99,23.6,,,
1966-07-19,1.14,,4.2,23.8,,,
1966-07-20,0.01,,5.15,24.1,,,
1966-07-21,6.34,,4.77,24.3,,,
1966-07-22,34.46,,4.96,24.4,,,
1966-07-23,26.7,,5.23,24.4,,,
1966-07-24,2.78,,4.19,24.3,,,
1966-07-25,1.86,,5.27,24.4,,,
1966-07-26,0.65,,3.03,24.4,,,
1966-07-27,0,,3.06,24.6,,,
1966-07-28,0.29,,5.5,24.9,,,
1966-07-29,4.16,,5.32,25.1,,,
1966-07-30,0.49,,4.76,25.2,,,
1966-07-31,0.44,,5.38,25.3,,,
1966-08-01,0.5,,6.08,25.3,,,
1966-08-02,5.98,,6.14,25.2,,,
1966-08-03,0,,5.79,25.2,,,
1966-08-04,0.01,,5.85,25.1,,,
1966-08-05,0,,5.45,25,,,
1966-08-06,0,,4.76,25,,,
1966-08-07,0.11,,4.12,25,,,
1966-08-08,0,,3.67,24.9,,,
1966-08-09,0.1,,5.15,24.8,,,
1966-08-10,2.15,,5.43,24.8,,,
1966-08-11,1.47,,4.92,24.7,,,
1966-08-12,1.75,,4.87,24.6,,,
1966-08-13,0.2,,4.86,24.5,,,
1966-08-14,0,,3.45,24.4,,,
1966-08-15,0,,4.01,24.3,,,
1966-08-16,8.88,,5.17,24.1,,,
1966-08-17,6.89,,3.81,24.1,,,
1966-08-18,0.79,,4.12,24,,,
1966-08-19,13.58,,4.03,24,,,
1966-08-20,24.96,,4.49,23.9,,,
1966-08-21,0,,4.94,23.7,,,
1966-08-22,0.44,,4.89,23.6,,,
1966-08-23,9.03,,5.47,23.4,,,
1966-08-24,9.25,,5.05,23.1,,,
1966-08-25,1.45,,3.09,23,,,
1966-08-26,0,,5.34,23,,,
1966-08-27,0,,3.08,22.9,,,
1966-08-28,0,,3.45,22.8,,,
1966-08-29,0.1,,2.49,22.8,,,
1966-08-30,0.25,,1.87,22.9,,,
1966-08-31,1.64,,3.37,22.7,,,
1966-09-01,7.46,,4.12,22.5,,,
1966-09-02,10.62,,3.7,22.3,,,
1966-09-03,11.62,,3,22.1,,,
1966-09-04,19.71,,2.07,21.7,,,
1966-09-05,2.51,,1.88,21.5,,,
1966-09-06,13.14,,2.22,21.3,,,
1966-09-07,0.23,,2.89,21.1,,,
1966-09-08,0.74,,2.48,20.9,,,
1966-09-09,8.76,,2.21,20.7,,,
1966-09-10,7.51,,2.45,20.6,,,
1966-09-11,11.28,,2.43,20.4,,,
1966-09-12,1.59,,4.1,20.1,,,
1966-09-13,0,,4.66,19.9,,,
1966-09-14,0,,4.82,19.7,,,
1966-09-15,0,,4.38,19.5,,,
1966-09-16,0,,3.49,19.4,,,
1966-09-17,0.37,,2.72,19.3,,,
1966-09-18,0.15,,2.77,19.2,,,
1966-09-19,0,,2.75,19,,,
1966-09-20,0,,3.06,18.7,,,
1966-09-21,0,,3.43,18.4,,,
1966-09-22,0,,3,18.2,,,
1966-09-23,0.22,,3,18,,,
1966-09-24,10.71,,2.78,17.8,,,
1966-09-25,1.14,,3.09,17.7,,,
1966-09-26,0,,2.98,17.5,,,
1966-09-27,0,,3.1,17.2,,,
1966-09-28,0,,3.06,16.9,,,
1966-09-29,0,,2.83,16.8,,,
1966-09-30,0,,2.31,16.7,,,
1966-10-01,0,,2.76,16.6,,,
1966-10-02,0.23,,4.14,16.5,,,
1966-10-03,5.38,,3.26,16.3,,,
1966-10-04,0.43,,2.33,15.9,,,
1966-10-05,0,,2.64,15.7,,,
1966-10-06,0,,2.63,15.5,,,
1966-10-07,0,,2.14,15.3,,,
1966-10-08,0,,2.85,15.3,,,
