time,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,mean,obs
2011-01-01,1,0.7,0.83,0.62,0.68,0.72,0.75,0.62,0.7,0.78,0.58,0.82,0.62,0.83,0.73,0.75,0.68,0.72,0.82,0.7,0.65,0.75,0.57,0.83,0.77,0.65,0.71,0.39
2011-01-02,1,0.4,0.6,0.3,0.32,0.52,0.52,0.33,0.33,0.52,0.3,0.53,0.33,0.5,0.37,0.42,0.35,0.47,0.42,0.42,0.33,0.47,0.37,0.5,0.48,0.32,0.42,0.48
2011-01-03,1,0.37,0.47,0.4,0.28,0.43,0.47,0.28,0.33,0.43,0.33,0.38,0.28,0.42,0.37,0.37,0.33,0.43,0.37,0.35,0.35,0.45,0.22,0.43,0.42,0.27,0.37,0.39
2011-01-04,1,0.45,0.55,0.5,0.55,0.67,0.63,0.42,0.55,0.73,0.4,0.73,0.4,0.7,0.58,0.62,0.48,0.52,0.63,0.72,0.55,0.55,0.35,0.67,0.65,0.52,0.56,0.55
2011-01-05,1,0.57,0.8,0.8,0.67,0.82,0.62,0.6,0.62,0.73,0.63,0.87,0.67,0.77,0.62,0.52,0.47,0.55,0.78,0.72,0.68,0.67,0.43,0.87,0.77,0.63,0.68,0.81
2011-01-06,1,0.78,0.55,0.53,0.47,0.77,0.67,0.43,0.63,0.63,0.4,0.63,0.52,0.7,0.48,0.72,0.47,0.55,0.73,0.55,0.68,0.65,0.33,0.83,0.63,0.5,0.59,0.52
2011-01-07,1,0.52,0.58,0.68,0.6,0.57,0.67,0.47,0.6,1.02,0.4,0.63,0.35,0.63,0.63,0.58,0.77,0.5,0.65,0.67,0.47,0.73,0.58,0.67,0.88,0.58,0.62,0.58
2011-01-08,1,0.6,0.55,0.75,0.33,0.67,0.67,0.57,0.58,0.58,0.88,0.68,0.57,0.65,0.68,0.95,0.72,0.33,0.72,0.7,0.37,0.57,0.38,0.72,0.7,0.65,0.62,0.57
2011-01-09,1,0.43,0.65,0.6,0.43,0.53,0.63,0.32,0.68,0.7,0.57,0.42,0.42,0.68,0.55,0.65,0.57,0.55,0.45,0.45,0.27,0.78,0.42,0.63,0.45,0.52,0.53,0.69
2011-01-10,1,0.5,0.77,0.4,0.92,0.3,0.43,0.27,0.47,0.5,0.52,0.87,0.3,0.6,0.45,0.43,0.32,0.52,0.48,0.97,0.93,0.48,0.55,0.55,0.85,0.23,0.54,0.55
2011-01-11,1,0.78,0.85,0.33,0.82,0.78,0.45,0.53,0.47,0.98,0.72,0.95,0.43,0.65,0.68,0.5,0.62,1.1,0.63,0.62,0.57,0.43,0.55,0.78,0.88,0.77,0.67,0.58
2011-01-12,1,0.5,0.57,0.9,0.23,1.27,0.75,0.42,0.47,0.63,0.42,0.6,0.78,0.9,0.78,0.75,0.58,0.65,0.87,0.72,0.45,0.5,0.38,0.67,0.6,0.97,0.65,0.67
2011-01-13,1,0.82,0.38,0.93,0.78,0.87,0.85,0.42,1.07,1.02,0.4,0.22,0.7,0.75,0.7,0.72,0.55,0.83,1.1,0.73,0.77,0.95,0.72,0.87,0.8,0.73,0.75,0.57
2011-01-14,1,0.5,0.6,0.7,0.77,0.77,0.6,0.65,0.57,0.97,0.27,1.02,0.55,0.6,0.88,0.73,0.78,0.6,0.83,0.73,0.73,0.53,0.45,0.95,1.4,0.9,0.72,0.63
2011-01-15,1,0.47,0.63,0.75,0.58,0.72,0.57,0.65,0.7,0.52,0.85,0.7,0.35,0.45,0.63,0.72,1.0,0.52,0.8,0.5,0.47,0.47,0.55,0.78,1.05,0.72,0.65,0.72
2011-01-16,1,0.6,0.35,0.63,0.5,0.52,0.65,0.38,0.63,0.48,0.88,0.7,0.37,1.53,0.62,0.37,0.98,0.5,0.77,0.63,0.58,0.72,0.67,0.63,1.18,0.5,0.65,0.52
2011-01-17,1,0.5,0.68,0.58,0.75,0.68,0.58,0.52,0.73,0.57,0.58,0.83,0.62,0.67,0.57,0.42,0.52,0.45,0.75,0.77,0.93,0.85,0.5,0.62,0.83,0.5,0.64,0.71
2011-01-18,1,0.32,0.65,0.7,0.68,0.88,0.57,0.35,0.48,0.73,0.67,0.48,0.32,0.78,0.85,0.38,0.62,0.42,0.5,0.52,0.62,0.82,0.47,0.57,0.48,0.55,0.58,0.78
2011-01-19,1,0.48,0.67,0.7,1.2,0.72,0.32,0.32,0.45,0.75,0.85,0.65,0.15,0.62,0.45,0.43,0.38,0.57,0.55,0.43,0.57,0.43,0.63,0.53,0.53,0.57,0.56,0.87
2011-01-20,1,0.53,0.4,0.68,0.85,0.33,1.02,0.5,0.28,0.92,0.9,0.68,0.27,0.53,1.03,0.35,0.45,0.75,0.95,0.12,0.68,1.22,0.33,0.93,0.53,0.62,0.63,0.7
2011-01-21,1,0.68,0.53,0.53,1.32,0.25,0.55,0.17,0.42,0.72,0.45,0.58,0.47,0.4,0.57,0.78,0.47,0.52,0.92,0.7,0.57,1.18,0.27,0.9,0.62,0.6,0.61,0.71
2011-01-22,1,0.53,0.33,0.4,0.95,0.45,0.23,0.35,0.55,0.57,0.57,0.57,0.35,0.87,0.68,0.47,0.73,0.5,0.75,0.38,0.45,0.6,0.37,1.17,0.6,0.05,0.54,0.81
2011-01-23,1,0.42,0.43,0.53,0.53,0.33,-0.07,0.85,0.7,0.62,0.33,0.58,0.73,0.4,0.63,0.5,0.6,0.75,0.65,0.78,0.57,0.53,0.27,0.88,0.3,0.38,0.53,0.47
