time,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,mean,obs
2011-10-01,1,11.44,11.61,10.98,11.36,11.35,10.89,11.83,11.11,11.36,11.13,11.1,11.77,11.24,11.18,11.42,11.16,11.8,11.27,11.25,10.99,11.93,11.32,11.09,11.69,11.1,11.33,11.23
2011-10-02,1,11.76,12.96,11.63,11.53,12.67,12.59,11.98,11.25,11.65,13.15,11.91,11.82,11.74,12.37,12.27,12.48,12.87,12.54,11.18,11.51,12.64,11.95,12.48,12.0,11.49,12.1,10.13
2011-10-03,1,13.13,13.87,13.11,12.58,13.39,12.87,12.73,13.3,12.08,13.93,12.44,11.89,13.03,13.03,12.76,13.3,13.59,13.52,11.77,11.95,13.38,12.31,12.93,12.13,12.32,12.85,10.54
2011-10-04,1,12.33,12.99,13.45,14.3,12.68,13.94,13.74,13.37,12.97,13.92,12.84,13.02,12.68,13.89,12.79,13.36,13.0,11.98,12.96,12.78,13.44,13.03,12.64,13.78,13.48,13.17,11.53
2011-10-05,1,13.21,13.78,15.32,14.36,14.11,14.72,14.74,14.6,13.31,14.61,13.04,13.41,13.61,12.67,14.23,14.17,13.13,12.27,13.23,14.79,14.12,13.93,13.53,14.7,13.05,13.87,14.27
2011-10-06,1,14.02,12.91,14.83,14.42,13.01,13.97,14.89,14.82,14.15,12.94,15.65,13.87,14.34,14.02,13.98,14.98,16.7,14.23,13.8,15.14,12.81,14.48,12.57,12.82,14.19,14.14,13.94
2011-10-07,1,14.55,15.43,16.19,15.1,16.65,15.76,15.72,14.31,15.69,15.01,16.41,16.26,14.39,15.77,16.13,15.7,17.44,15.21,15.59,16.83,14.85,15.08,14.77,13.85,14.33,15.48,11.7
2011-10-08,1,16.93,17.05,14.48,16.18,16.69,17.4,14.65,15.9,14.93,16.11,15.83,15.95,15.13,14.45,17.63,14.65,18.47,14.45,17.49,17.46,17.24,15.35,14.5,16.27,15.1,16.01,13.37
2011-10-09,1,16.18,17.29,17.5,17.21,16.44,17.46,13.37,16.55,15.09,16.65,15.18,17.52,14.86,15.4,16.47,15.05,18.98,14.91,17.13,16.72,16.52,15.33,14.97,16.44,13.48,16.11,13.07
2011-10-10,1,17.67,14.99,14.46,19.87,16.32,17.97,15.44,16.13,15.69,14.98,17.25,16.6,17.18,17.52,17.38,15.26,19.16,13.04,17.38,16.44,16.38,13.86,16.51,16.18,16.64,16.41,15.27
2011-10-11,1,16.42,16.23,13.54,16.6,16.95,16.47,14.81,15.05,13.88,18.24,15.79,15.1,15.19,14.44,18.99,15.04,20.75,11.3,15.83,14.62,14.15,15.62,13.14,16.11,13.0,15.49,15.1
2011-10-12,1,13.19,15.58,13.6,14.78,13.19,15.7,12.29,14.58,10.88,17.67,9.95,12.09,12.58,12.86,13.33,14.14,14.2,5.3,16.37,14.28,8.17,14.59,16.24,15.99,10.01,13.26,12.6
2011-10-13,1,14.57,11.61,13.43,11.0,9.68,12.91,10.46,13.29,12.04,16.46,12.55,12.33,11.05,11.87,6.57,11.13,11.61,11.65,15.1,10.24,4.72,14.9,12.69,12.35,7.97,11.69,14.0
2011-10-14,1,15.37,9.64,16.33,5.26,12.88,11.93,15.3,14.02,12.42,13.39,13.05,13.16,13.98,9.12,10.13,12.45,12.11,12.92,7.04,10.12,9.19,12.53,13.16,14.27,11.69,12.06,11.67
2011-10-15,1,16.75,10.02,12.12,9.32,12.92,9.48,11.6,15.71,10.22,11.88,14.33,15.06,15.38,12.46,10.27,14.79,12.99,13.13,5.38,12.08,11.2,14.17,15.0,10.37,12.73,12.37,12.63
2011-10-16,1,10.64,12.52,9.85,11.54,14.07,12.62,15.47,12.97,14.1,17.32,13.64,14.71,10.17,14.97,11.38,13.49,12.04,8.31,8.89,14.56,14.14,12.78,17.3,10.52,12.18,12.81,12.8
2011-10-17,1,7.52,14.08,11.34,11.47,15.65,8.59,7.92,15.34,16.14,17.51,14.12,19.2,8.53,15.02,11.58,15.87,9.81,10.21,13.18,9.48,5.44,13.34,15.72,7.73,14.64,12.38,9.1
2011-10-18,1,12.07,11.15,12.75,14.87,12.95,6.84,8.13,14.36,9.24,17.9,15.48,13.66,11.1,15.53,12.74,15.7,9.64,11.78,12.3,10.93,6.06,14.59,8.46,7.33,9.9,11.82,7.4
2011-10-19,1,5.46,12.35,4.96,16.16,13.99,10.95,8.79,7.07,4.68,17.51,15.48,7.86,12.65,12.66,12.0,14.26,11.06,12.56,12.38,12.15,8.06,13.55,10.5,9.44,13.25,11.19,9.9
