time,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,mean,obs
2011-10-01,1,0.1,0.21,0.12,0.11,0.07,0.12,0.08,0.06,0.19,0.08,0.08,0.07,0.21,0.11,0.16,0.13,0.05,0.12,0.08,0.2,0.11,0.13,0.17,0.22,0.05,0.12,0.0
2011-10-02,1,0.02,0.04,0.02,0.0,0.04,0.0,0.01,0.02,0.03,0.02,0.01,0.0,0.0,0.01,0.0,0.03,0.02,0.01,0.04,0.02,0.02,0.01,0.01,0.02,0.0,0.02,0.0
2011-10-03,1,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-05,1,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0
2011-10-06,1,0.05,0.0,0.01,0.0,0.02,0.07,0.01,0.08,0.0,0.01,0.0,0.01,0.07,0.02,0.05,0.0,0.0,0.0,0.05,0.02,0.07,0.0,0.0,0.02,0.0,0.02,0.0
2011-10-07,1,0.02,0.0,0.0,0.07,0.0,0.03,0.0,0.03,0.0,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.0,0.01,0.0,0.01,0.0
2011-10-08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.0,0.12,0.01,0.0
2011-10-09,1,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.08,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,2.33,0.0,0.0,0.02,0.17,0.0
2011-10-10,1,0.0,0.0,0.15,0.0,0.0,0.0,2.64,0.6,0.0,0.25,2.91,0.21,0.0,4.27,0.0,0.38,0.0,0.28,0.0,0.29,0.28,2.29,8.29,0.0,4.4,1.09,0.0
2011-10-11,1,11.86,3.82,0.31,48.58,10.63,1.73,1.54,0.0,6.34,0.0,14.87,7.87,0.05,0.12,7.57,2.4,3.23,0.63,0.03,0.27,0.55,0.0,2.08,0.09,16.9,5.66,0.0
2011-10-12,1,0.2,0.77,11.04,0.03,9.28,14.25,4.52,0.0,0.0,0.0,0.0,0.02,0.97,0.08,0.0,5.2,1.64,0.0,0.12,1.73,0.02,0.0,0.0,3.36,0.0,2.13,0.03
2011-10-13,1,0.08,0.0,0.0,2.17,0.0,0.46,5.29,0.17,0.0,3.21,0.0,0.0,0.0,0.0,0.02,2.83,0.02,0.0,6.96,0.0,0.0,8.61,0.0,0.49,0.05,1.21,0.0
2011-10-14,1,2.54,0.0,0.0,2.05,0.0,0.12,0.28,0.0,0.0,0.13,0.05,0.0,0.0,0.0,0.0,0.56,0.0,0.05,0.38,0.02,0.0,0.55,0.0,0.0,0.0,0.27,3.54
2011-10-15,1,3.31,0.0,0.97,0.0,0.0,0.0,2.01,0.0,1.19,0.2,0.1,0.0,1.03,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.32,2.6,0.0,0.0,0.0,0.48,12.77
2011-10-16,1,2.73,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.06,0.03,0.18,0.05,0.0,0.0,0.15,0.04,0.0,0.0,4.3,2.46,0.0,0.02,1.15,0.45,2.0
2011-10-17,1,1.21,0.01,0.0,0.0,0.0,3.32,0.93,0.0,0.0,0.0,0.0,36.94,0.0,0.18,0.0,0.0,5.94,0.0,0.05,0.15,1.12,0.03,0.0,0.0,13.24,2.52,0.0
