time,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,mean,obs
2011-06-01,1,12.7,13.1,12.79,13.39,13.04,12.57,12.73,12.56,12.78,13.08,12.21,13.35,12.88,13.12,12.52,12.39,13.9,13.17,13.69,12.63,12.99,13.18,12.51,13.41,13.01,12.95,15.83
2011-06-02,1,18.06,18.76,18.4,17.94,18.6,18.17,18.95,18.81,18.36,18.87,18.19,18.05,17.86,18.35,18.11,19.05,18.25,17.35,19.03,18.58,18.64,18.22,18.53,18.44,16.92,18.34,17.87
2011-06-03,1,14.56,16.14,15.87,14.93,15.68,16.21,14.7,16.94,15.12,16.46,14.37,15.38,14.79,15.83,15.94,16.02,15.56,15.39,14.59,14.93,16.96,14.58,14.74,15.6,14.34,15.43,17.97
2011-06-04,1,16.26,15.83,16.92,16.14,16.68,15.87,19.4,16.22,17.73,15.82,15.61,16.59,16.93,17.06,17.08,18.08,15.86,16.28,15.94,16.88,15.27,16.17,15.68,15.35,16.73,16.5,20.0
2011-06-05,1,22.1,21.77,21.41,23.01,22.29,21.73,21.68,17.41,21.77,20.51,21.71,19.69,17.82,21.98,22.26,21.27,20.2,21.75,20.89,21.1,20.23,21.02,21.62,21.78,22.03,21.16,20.0
2011-06-06,1,22.76,23.0,21.89,22.63,22.33,22.85,23.97,20.68,19.97,21.65,19.29,22.35,17.92,20.01,18.94,23.18,20.5,22.19,20.84,22.36,23.57,22.96,22.32,19.78,22.05,21.6,20.6
2011-06-07,1,21.76,23.41,20.66,23.06,20.84,24.4,22.64,19.37,19.76,19.55,17.93,19.98,22.24,18.07,18.41,22.0,20.45,22.62,21.44,20.55,23.46,19.23,21.77,20.6,21.86,21.04,19.13
2011-06-08,1,22.23,22.27,20.06,21.18,20.68,23.84,22.99,18.92,21.81,18.15,21.7,20.56,19.99,18.92,19.84,22.67,20.67,21.02,20.92,22.19,23.79,19.23,24.8,21.15,20.08,21.19,20.97
2011-06-09,1,19.69,16.82,18.62,21.25,20.78,20.47,19.95,20.22,19.3,18.04,22.27,20.97,18.99,16.71,18.92,21.26,20.35,18.08,19.93,21.07,20.09,20.44,23.36,20.12,17.7,19.82,19.63
2011-06-10,1,13.36,17.41,18.0,18.76,22.35,15.9,19.0,13.25,19.78,19.07,18.26,15.25,16.86,20.36,22.0,24.0,20.68,21.69,17.98,18.51,21.29,19.7,20.24,18.87,19.73,18.89,20.77
2011-06-11,1,19.74,16.17,19.8,18.45,20.92,18.47,20.84,14.01,20.72,20.79,19.11,16.35,15.27,21.21,19.67,22.76,20.26,21.01,22.43,20.91,19.68,18.61,21.41,19.53,18.83,19.48,21.47
2011-06-12,1,20.81,15.81,23.53,21.4,19.64,20.58,21.8,17.91,22.12,23.03,20.45,19.03,18.87,22.63,19.08,16.7,19.43,21.71,21.35,22.12,19.98,22.99,20.0,19.27,16.86,20.28,20.9
2011-06-13,1,20.68,15.95,21.34,24.89,15.81,21.37,19.15,15.26,22.23,23.19,24.27,20.38,17.61,22.55,20.31,15.46,22.23,22.48,17.6,24.61,21.32,18.36,15.24,22.39,20.66,20.21,19.67
2011-06-14,1,18.23,19.24,19.26,18.31,21.95,20.93,14.58,16.87,17.72,16.66,15.26,14.8,17.38,13.51,23.65,19.21,18.93,20.65,17.78,17.47,20.46,15.72,14.66,19.82,18.77,18.07,20.67
2011-06-15,1,20.02,19.54,18.82,20.88,24.09,23.97,12.06,15.34,18.29,17.87,20.4,14.3,14.6,13.56,23.32,22.04,15.67,20.81,21.01,18.92,18.61,20.41,15.57,15.03,17.35,18.5,21.2
2011-06-16,1,16.67,22.14,16.09,17.17,17.32,23.18,11.44,13.78,19.18,16.71,21.9,16.8,15.85,18.76,21.22,22.21,16.14,23.51,22.8,18.58,20.4,20.49,21.85,14.45,17.45,18.64,22.13
2011-06-17,1,22.16,22.29,19.72,21.29,18.16,21.76,14.54,16.63,22.31,19.63,21.84,14.79,15.84,22.06,22.91,21.91,19.33,24.01,21.23,19.53,20.98,14.31,19.26,14.15,19.79,19.62,21.53
2011-06-18,1,21.53,22.0,19.84,19.98,20.75,19.94,15.89,18.31,18.72,24.84,20.59,15.23,15.98,16.18,20.93,21.81,17.02,14.2,17.57,22.49,18.19,15.51,13.47,17.72,20.37,18.76,22.27
2011-06-19,1,19.84,21.03,21.08,14.79,23.36,17.21,14.72,18.77,19.6,20.05,18.51,17.35,16.34,16.87,20.66,23.18,18.99,11.69,20.55,22.45,20.51,17.12,16.19,20.46,21.48,18.91,22.63
2011-06-20,1,21.2,19.59,22.69,16.48,23.86,24.62,16.32,17.77,20.98,20.22,17.76,17.07,16.97,18.36,25.08,14.05,22.07,16.65,19.04,22.07,16.99,19.63,17.32,18.07,17.38,19.29,23.0
2011-06-21,1,23.07,20.89,22.13,21.73,23.02,23.18,18.16,15.33,21.27,21.35,17.11,19.89,15.69,16.02,23.87,14.84,21.18,20.79,20.92,22.71,22.21,23.31,19.97,20.1,16.07,20.19,23.47
2011-06-22,1,20.16,20.86,22.29,15.89,23.32,21.29,16.4,14.25,19.88,18.01,20.81,19.45,16.84,12.68,24.31,17.58,23.37,22.63,20.45,23.55,23.05,20.34,20.26,19.83,16.34,19.75,21.94
2011-06-23,1,24.02,21.04,20.63,15.31,23.81,21.46,16.31,15.45,19.45,21.72,19.26,16.64,17.59,16.04,25.35,17.22,22.81,20.01,23.71,23.68,16.76,22.56,16.47,17.65,17.77,19.71,22.47
2011-06-24,1,25.23,22.09,23.25,18.53,26.27,21.39,17.41,16.42,16.81,22.75,17.07,16.61,18.17,17.62,20.78,21.08,22.57,18.13,15.35,23.84,19.96,20.91,20.14,15.23,23.72,20.05,18.1
2011-06-25,1,25.24,23.29,21.36,22.82,26.83,20.21,19.1,21.82,16.91,22.08,21.18,20.15,13.47,20.47,21.39,19.12,24.09,19.02,13.53,23.74,22.61,25.47,19.72,17.84,20.35,20.87,15.97
2011-06-26,1,23.51,24.44,22.59,19.07,24.45,23.93,19.99,20.88,17.6,22.6,20.25,20.46,15.33,19.6,18.34,18.22,21.22,21.54,14.91,22.85,21.77,24.72,20.18,17.81,21.01,20.69,16.13
2011-06-27,1,24.34,24.52,22.46,16.46,24.82,22.5,21.14,21.58,18.8,19.17,22.09,18.38,21.87,20.85,21.44,20.08,24.05,21.65,14.66,22.18,21.72,20.75,20.04,17.94,21.01,20.98,17.73
2011-06-28,1,23.78,25.03,21.53,19.15,24.58,22.98,21.74,21.2,16.86,16.79,20.79,22.28,17.55,22.53,24.04,21.4,25.6,21.82,15.73,22.89,19.95,23.77,17.53,18.26,20.65,21.14,22.57
2011-06-29,1,23.73,23.16,21.02,21.79,24.41,22.92,21.22,21.21,14.88,18.55,18.65,22.87,13.8,23.62,22.9,21.97,22.7,19.5,19.54,25.29,20.39,22.03,18.15,16.57,22.35,20.93,20.33
2011-06-30,1,23.91,21.58,21.84,22.45,23.86,23.28,19.39,22.35,15.71,20.3,14.51,23.68,22.07,22.48,19.09,22.62,23.61,20.44,20.76,21.56,17.91,22.14,20.46,18.16,23.32,21.1,23.0
2011-07-01,2,24.09,22.14,20.08,19.89,24.55,22.72,23.55,22.64,19.38,21.44,18.13,22.51,23.6,21.26,22.87,20.11,26.93,21.38,18.3,23.04,19.34,22.26,21.6,22.18,22.45,21.86,23.93
2011-07-02,2,21.99,22.58,17.55,20.94,25.28,22.54,25.66,20.96,22.33,20.12,21.15,22.31,23.73,23.16,20.43,17.39,24.89,21.79,21.68,23.19,21.43,23.62,23.83,23.25,22.89,22.19,24.67
2011-07-03,2,26.16,21.01,18.35,24.14,24.49,22.52,25.75,22.86,23.04,23.06,18.46,22.63,21.05,23.33,20.86,18.24,26.11,21.98,21.6,24.28,17.28,24.22,25.37,20.37,21.55,22.35,21.83
2011-07-04,2,24.46,22.18,21.49,23.6,22.23,23.67,24.77,23.16,22.27,24.97,17.81,20.7,21.27,23.28,21.95,23.3,24.21,20.28,21.51,22.46,18.38,24.86,25.81,20.0,22.42,22.44,23.8
2011-07-05,2,26.25,20.09,20.84,21.19,22.41,21.56,26.33,22.68,21.51,24.08,19.69,22.4,21.97,24.12,21.62,23.68,23.37,19.58,20.19,21.66,21.25,24.46,23.74,21.9,22.54,22.36,23.33
2011-07-06,2,26.46,19.15,22.73,22.32,27.13,23.4,23.8,25.64,22.11,23.78,23.72,21.12,21.83,23.48,20.92,19.27,22.59,22.66,22.16,23.2,22.01,23.91,23.01,19.85,22.85,22.76,23.97
2011-07-07,2,24.29,25.14,24.21,24.15,26.38,23.6,22.47,25.88,23.75,22.54,23.9,20.83,23.03,25.33,23.2,18.96,22.9,23.0,20.31,23.86,18.21,23.13,23.29,23.0,24.49,23.19,20.37
2011-07-08,2,24.34,24.38,20.99,25.12,25.78,22.36,21.64,25.14,24.5,22.22,24.45,24.0,22.16,22.15,23.94,21.43,24.48,21.8,18.4,24.92,20.49,20.35,24.11,26.52,23.28,23.16,22.07
2011-07-09,2,23.44,22.81,20.64,24.58,25.81,23.24,22.95,27.53,24.14,18.85,25.1,21.43,21.68,21.65,23.91,22.26,24.17,22.79,17.61,25.78,20.5,24.2,23.18,22.95,21.27,22.9,22.2
2011-07-10,2,20.91,24.61,21.89,22.8,23.41,24.5,24.99,24.67,23.56,22.34,24.06,20.92,23.26,26.22,23.57,24.7,27.82,22.95,19.87,25.93,19.72,22.67,25.06,21.48,22.22,23.37,23.1
2011-07-11,2,19.78,24.29,23.4,24.84,23.4,25.75,25.99,23.12,24.04,22.09,24.75,21.58,24.28,24.66,24.51,26.62,26.33,22.68,25.05,26.4,22.7,21.46,26.9,22.01,20.05,23.87,20.6
2011-07-12,2,19.76,24.19,24.61,24.82,21.46,25.35,24.64,20.78,22.89,24.74,23.77,21.66,21.68,24.5,24.35,26.21,25.72,23.24,22.84,27.05,25.32,20.87,25.09,21.26,21.25,23.52,21.03
2011-07-13,2,25.34,22.75,24.14,22.95,24.02,22.5,24.61,22.69,24.08,23.12,24.92,19.2,19.7,23.41,23.93,23.88,26.15,22.67,23.21,25.87,23.51,20.83,22.37,21.07,19.32,23.05,22.23
