time,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,mean,obs
2014-01-01,1,0.78,1.08,0.72,0.9,1.23,0.88,0.75,1.0,1.0,0.82,0.97,0.9,1.12,0.77,1.1,0.75,0.9,1.02,0.73,0.8,1.05,1.02,1.07,0.93,0.88,0.93,1.76
2014-01-02,1,0.57,0.8,0.38,0.52,0.7,0.67,0.48,0.52,0.72,0.47,0.72,0.47,0.75,0.57,0.55,0.52,0.67,0.62,0.57,0.53,0.67,0.5,0.62,0.63,0.55,0.59,0.89
2014-01-03,1,0.32,0.5,0.25,0.22,0.5,0.52,0.13,0.35,0.45,0.23,0.57,0.15,0.48,0.43,0.32,0.27,0.43,0.37,0.47,0.38,0.42,0.32,0.58,0.52,0.28,0.38,0.83
2014-01-04,1,0.43,0.45,0.3,0.38,0.38,0.38,0.43,0.32,0.45,0.4,0.53,0.35,0.35,0.33,0.4,0.25,0.38,0.4,0.35,0.35,0.35,0.32,0.47,0.43,0.37,0.38,0.55
2014-01-05,1,0.4,0.67,0.28,0.35,0.53,0.43,0.5,0.35,0.37,0.28,0.53,0.28,0.6,0.33,0.45,0.4,0.47,0.3,0.42,0.42,0.32,0.35,0.43,0.43,0.35,0.41,0.52
2014-01-06,1,0.52,0.47,0.3,0.4,0.65,0.43,0.45,0.33,0.67,0.42,0.4,0.38,0.57,0.6,0.4,0.32,0.55,0.67,0.42,0.42,0.58,0.5,0.5,0.7,0.32,0.48,0.59
2014-01-07,1,0.4,0.62,0.22,0.08,0.07,0.38,0.38,0.08,0.52,0.33,0.3,0.38,0.63,0.42,0.23,0.43,0.55,0.3,0.35,0.32,0.33,0.6,0.67,0.47,0.38,0.38,0.61
2014-01-08,1,0.48,0.5,0.58,0.5,1.27,0.97,0.78,0.75,0.62,0.27,1.05,0.33,0.33,1.38,1.38,1.15,0.27,0.32,1.38,0.55,0.85,0.2,0.77,0.38,0.57,0.71,0.84
2014-01-09,1,0.72,0.77,0.5,0.4,0.97,0.68,0.65,0.63,0.83,0.68,0.75,0.85,0.28,0.85,0.82,0.97,0.63,0.65,0.88,1.05,0.7,0.78,1.12,0.27,0.43,0.71,0.77
2014-01-10,1,0.73,0.65,0.75,0.28,0.67,0.58,0.82,0.77,0.78,0.35,0.52,0.58,0.67,0.67,0.6,0.58,0.85,0.43,0.78,0.85,0.48,0.58,0.82,1.55,0.53,0.67,0.78
2014-01-11,1,0.37,1.33,0.5,0.52,0.43,0.85,0.65,0.72,0.4,0.67,0.52,0.43,0.62,0.7,0.75,0.27,1.38,0.6,0.67,0.75,0.53,0.5,0.72,0.97,0.38,0.65,0.97
2014-01-12,1,0.85,1.07,0.92,0.52,0.75,0.92,0.6,0.68,0.4,0.37,0.9,0.35,1.02,0.52,0.72,0.48,0.93,0.9,0.4,0.8,0.67,0.9,0.9,0.57,0.93,0.72,0.97
2014-01-13,1,0.68,1.23,0.6,0.48,0.4,0.75,0.37,0.77,0.78,0.35,1.33,0.37,0.82,0.52,0.65,0.5,0.9,0.57,0.57,0.47,0.78,0.82,0.48,0.58,0.57,0.65,0.66
2014-01-14,1,0.87,0.92,0.5,0.27,1.23,0.35,0.43,0.62,0.95,0.38,0.98,0.37,0.48,0.48,1.18,0.67,0.53,0.7,0.43,0.63,0.83,0.47,1.63,0.45,0.58,0.68,0.64
2014-01-15,1,0.62,0.38,0.32,0.37,1.0,0.33,0.4,0.25,0.73,1.05,1.05,0.25,1.02,0.3,0.6,0.48,0.45,0.55,0.67,0.23,0.45,0.53,1.43,0.65,0.33,0.58,0.73
2014-01-16,1,0.5,0.4,0.3,0.45,0.78,0.15,0.5,0.6,0.63,0.73,0.78,0.25,0.57,0.5,0.6,0.33,0.62,0.72,0.12,0.53,0.43,0.18,0.83,0.82,0.38,0.51,0.56
