time,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,mean,obs
2015-07-01,1,20.32,20.02,20.65,20.83,20.58,20.33,20.67,20.09,20.45,20.23,20.67,21.26,20.38,20.09,20.76,20.06,20.85,20.96,19.96,20.32,20.79,19.92,20.25,20.61,20.15,20.45,21.6
2015-07-02,1,22.73,21.31,22.23,21.24,21.47,20.98,21.71,21.11,21.98,21.07,21.78,21.39,20.78,21.39,22.16,21.23,21.53,21.73,20.68,20.66,21.98,20.07,21.36,20.75,20.86,21.37,20.8
2015-07-03,1,19.99,18.22,19.0,19.28,18.88,21.8,18.53,19.03,20.63,18.6,18.72,17.99,19.86,17.74,19.34,19.58,18.64,19.79,17.89,20.4,19.24,19.37,18.6,18.36,18.9,19.14,19.53
2015-07-04,1,19.97,21.93,20.35,23.23,21.75,20.24,24.6,24.15,21.85,20.67,21.62,22.86,20.57,23.1,19.28,21.92,20.69,21.76,21.45,21.53,22.16,22.29,23.32,21.39,20.4,21.72,20.1
2015-07-05,1,21.26,23.44,21.85,23.98,24.51,22.48,25.45,24.31,22.62,23.53,24.86,23.35,22.21,24.69,21.73,23.83,18.73,24.89,23.65,23.22,23.16,24.44,23.42,22.55,24.9,23.32,20.8
2015-07-06,1,22.15,20.15,24.82,25.07,24.58,22.68,21.78,24.41,23.35,26.2,24.77,24.77,21.03,21.16,21.98,25.13,23.39,19.88,22.87,25.5,26.53,25.87,19.22,21.15,23.98,23.3,21.8
2015-07-07,1,17.6,21.47,21.13,23.88,19.14,21.7,18.39,26.35,20.36,25.11,25.93,18.8,22.98,15.85,21.44,26.56,23.71,19.51,24.11,22.21,17.78,26.98,18.8,16.72,21.2,21.51,20.1
2015-07-08,1,23.38,17.38,24.02,21.41,20.74,21.23,20.56,25.44,21.36,24.75,23.72,21.63,25.69,24.82,21.27,26.36,21.26,21.36,21.43,22.3,22.67,25.69,23.78,18.81,23.14,22.57,20.13
2015-07-09,1,24.22,18.72,25.24,24.41,24.43,26.9,18.62,21.8,27.01,22.11,24.06,23.29,23.66,24.68,18.2,28.18,27.55,24.13,21.95,22.3,22.08,23.95,25.16,18.68,24.26,23.42,22.67
2015-07-10,1,20.16,23.27,24.18,26.92,26.81,23.09,20.47,23.0,18.8,16.6,22.27,26.8,21.55,19.78,18.75,23.41,21.47,23.76,24.8,23.82,21.83,24.79,22.93,20.96,23.49,22.55,24.5
2015-07-11,1,19.12,29.2,22.24,23.73,24.84,23.01,19.21,21.11,20.98,14.44,27.08,22.96,26.18,19.15,18.98,27.12,23.32,24.09,26.18,24.68,19.8,25.01,22.0,25.16,24.9,22.98,26.4
2015-07-12,1,20.7,24.08,21.77,21.01,22.7,24.21,25.32,21.3,21.26,20.55,22.48,22.85,24.74,21.33,17.95,26.9,25.39,24.94,24.24,25.92,22.99,24.99,22.78,25.33,25.1,23.23,23.8
2015-07-13,1,20.64,25.49,20.65,20.38,22.94,24.36,25.64,20.02,17.5,25.64,22.66,23.76,24.92,24.05,18.44,23.04,24.8,23.64,26.02,24.36,22.03,22.26,21.62,24.67,26.02,23.02,23.13
2015-07-14,1,23.76,25.13,19.9,20.52,27.65,26.06,25.87,19.49,15.8,20.51,24.64,23.83,27.7,20.15,19.37,22.33,24.24,22.88,23.82,24.27,21.09,27.34,25.05,25.97,28.2,23.42,25.47
2015-07-15,1,22.85,23.13,20.72,18.93,24.94,23.07,19.9,19.46,17.76,20.88,22.35,23.88,25.31,24.61,20.37,23.34,21.36,23.44,21.18,24.71,21.42,22.59,24.22,26.61,23.99,22.44,23.37
2015-07-16,1,23.97,21.58,18.66,21.29,25.17,24.87,18.37,22.39,19.23,23.84,23.02,25.91,24.38,20.74,23.42,23.1,22.7,25.56,23.89,23.18,22.61,22.07,22.93,24.73,24.06,22.87,19.57
2015-07-17,1,24.84,21.19,21.43,25.07,25.01,25.09,19.68,23.81,21.75,23.3,24.21,24.95,24.39,20.62,20.7,23.8,23.41,22.75,24.01,27.43,22.29,23.14,24.05,23.07,24.2,23.37,18.87
2015-07-18,1,22.56,19.8,21.17,24.39,23.41,21.83,20.55,26.4,24.57,23.86,23.6,24.25,23.77,25.52,22.05,24.39,24.64,20.26,24.02,24.56,24.52,23.49,22.8,24.01,25.55,23.44,21.8
2015-07-19,1,22.88,19.62,24.93,23.31,22.98,22.78,23.49,26.2,24.97,26.23,23.94,25.06,24.58,26.48,24.15,23.44,27.55,19.08,24.79,23.14,22.97,27.86,23.19,20.62,23.74,23.92,22.6
2015-07-20,1,21.9,19.99,27.61,25.06,22.86,24.79,23.92,25.24,26.14,25.54,22.4,25.95,24.21,26.05,26.01,24.79,27.51,18.22,23.58,21.43,24.54,26.07,24.21,23.68,21.84,24.14,23.2
2015-07-21,1,26.24,21.99,28.12,26.19,21.82,24.96,25.5,26.41,23.62,24.98,23.24,25.24,26.13,24.46,25.72,23.09,28.92,21.25,20.76,22.57,23.98,24.79,24.17,24.93,23.0,24.48,23.43
2015-07-22,1,24.9,22.44,28.65,27.96,24.8,23.32,22.78,24.65,25.21,24.81,23.03,19.19,26.18,24.41,26.65,23.38,28.65,21.39,21.95,23.27,24.49,22.66,25.07,25.21,24.96,24.4,25.8
2015-07-23,1,23.18,23.4,29.41,27.18,24.71,22.85,25.88,26.33,26.59,23.24,25.02,18.62,26.75,25.13,25.74,24.01,24.97,19.92,22.53,24.18,24.04,22.72,22.21,22.89,25.58,24.28,26.4
