time,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2018-06-01,1,22.27,22.08,22.34,22.32,21.81,21.45,22.49,21.71,22.0,21.76,22.82,22.55,22.0,22.77,21.86,21.91,22.22,21.95,22.35,21.83,22.23,22.29,21.84,22.44,21.84,22.33,21.93,22.37,22.21,21.83,22.15,22.32,21.64,21.83,22.15,22.34,21.97,22.48,21.79,22.56,21.88,21.64,22.46,22.44,21.8,22.44,22.01,22.06,22.66,21.88,22.21,22.13,20.87
2018-06-02,1,21.88,21.37,21.19,21.98,21.27,21.23,21.9,21.06,20.58,21.07,21.12,21.3,21.17,22.2,20.82,20.53,21.53,21.16,21.27,21.22,21.85,21.57,21.4,21.16,21.53,20.92,21.39,21.37,21.5,20.85,21.85,21.57,21.1,20.26,21.42,21.18,21.71,22.14,21.59,21.48,21.49,21.84,21.43,21.04,21.12,22.04,21.7,21.33,22.07,20.85,21.61,21.38,22.13
2018-06-03,1,22.3,22.34,22.45,23.04,23.79,21.75,24.22,22.39,22.15,21.8,20.45,20.68,22.69,23.35,19.02,22.81,21.35,22.81,23.05,24.23,21.81,23.12,21.17,23.59,21.33,20.13,23.15,21.85,23.28,23.66,22.75,22.97,22.06,22.04,23.37,21.91,23.84,20.75,23.08,20.24,23.62,20.93,23.59,20.71,22.57,22.62,23.03,22.98,21.94,20.52,22.81,22.32,20.97
2018-06-04,1,16.76,19.98,18.72,19.69,20.48,15.72,17.85,16.96,20.42,18.16,19.58,17.33,17.25,16.71,19.92,17.19,14.41,16.22,18.52,16.14,19.7,18.11,19.98,17.54,15.57,16.59,18.24,19.86,15.88,17.49,18.56,20.19,17.2,15.98,21.14,19.17,20.94,16.52,17.01,20.28,17.2,19.09,17.95,19.77,19.03,20.18,15.47,17.66,15.82,16.25,18.74,18.06,20.27
2018-06-05,1,19.52,23.21,20.31,21.38,19.66,18.9,17.97,19.89,19.0,20.66,21.22,21.45,20.49,20.82,19.97,21.63,21.02,20.06,21.42,18.37,19.56,20.63,22.31,19.59,19.33,20.46,20.75,20.7,16.3,17.96,21.93,19.43,19.88,18.62,20.74,21.39,18.7,19.77,22.29,20.14,20.67,19.86,18.21,18.33,19.69,20.61,20.03,21.17,18.58,18.27,19.35,20.04,22.57
2018-06-06,1,22.94,24.09,23.04,23.42,19.33,19.11,23.0,21.91,24.0,23.43,20.72,24.58,21.46,21.94,21.95,23.65,18.97,20.21,21.87,18.35,21.76,24.03,23.43,21.65,22.15,20.43,21.87,20.55,21.19,21.85,24.0,22.14,21.06,20.62,20.43,19.76,20.56,19.82,23.81,22.53,22.36,21.55,20.59,21.23,22.47,22.22,19.11,21.38,21.29,19.8,24.06,21.72,21.97
2018-06-07,1,24.61,24.46,23.69,22.67,21.28,19.76,20.93,19.79,23.23,19.59,19.79,21.41,19.45,22.27,23.68,22.19,19.76,21.45,20.88,21.28,18.05,22.41,21.72,22.56,22.89,25.34,19.8,22.65,21.13,20.79,24.06,18.89,18.71,19.24,21.29,19.84,21.34,20.57,21.29,24.0,20.98,23.66,22.8,19.31,22.05,18.73,20.97,20.54,23.93,21.93,20.9,21.46,23.07
2018-06-08,1,21.93,22.55,23.84,23.72,23.19,23.4,19.34,15.57,20.85,21.25,20.36,19.8,23.52,22.63,20.84,21.23,21.64,21.34,20.38,25.72,18.37,19.24,20.52,21.61,19.34,17.42,19.56,18.79,17.89,19.3,22.79,16.27,20.28,13.82,20.53,19.96,22.04,23.32,24.32,21.32,17.1,19.51,20.48,18.95,22.11,19.95,24.78,20.86,17.86,22.15,17.18,20.6,21.77
2018-06-09,1,14.21,15.81,18.96,20.62,19.37,18.43,17.56,12.72,20.16,17.02,15.13,21.43,16.86,20.68,16.43,18.91,15.29,20.14,18.75,18.7,20.55,15.94,22.54,17.85,19.6,17.1,15.27,13.71,17.94,16.86,17.34,13.79,24.79,11.73,20.83,23.12,20.42,15.45,16.99,18.41,13.72,19.38,12.27,21.11,15.98,17.28,24.37,24.01,18.05,18.33,16.42,18.01,19.33
2018-06-10,1,15.48,16.18,15.98,20.73,15.59,15.64,12.77,11.94,23.36,21.82,19.98,19.72,15.67,22.76,14.88,16.65,17.27,17.94,18.34,18.1,18.13,13.44,18.51,18.6,15.7,19.87,14.46,14.03,15.85,18.63,18.1,12.84,19.83,15.9,24.8,20.01,12.35,16.03,15.92,21.56,11.31,22.21,14.15,21.03,14.52,14.26,19.57,18.75,20.45,20.48,16.73,17.43,18.23
