time,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,mean,obs
2016-09-01,1,1.2,4.67,3.08,2.79,3.89,4.67,0.91,1.27,3.85,1.73,1.3,0.85,1.66,1.79,5.26,5.16,1.02,5.37,0.49,0.21,6.94,2.39,2.54,1.51,1.89,2.66,8.45
2016-09-02,1,30.58,3.46,22.21,25.81,9.98,3.49,19.66,20.21,23.46,35.94,32.89,1.19,35.37,20.75,6.03,51.53,9.67,26.54,31.04,2.64,21.08,7.15,5.35,1.68,62.18,20.4,5.9
2016-09-03,1,1.2,1.12,1.23,3.77,1.48,6.99,0.51,0.1,0.74,4.68,2.6,9.29,14.46,1.6,2.57,3.68,2.13,1.38,0.38,0.24,3.36,1.93,0.29,0.36,2.7,2.75,5.8
2016-09-04,1,0.02,0.01,0.0,0.02,1.1,0.13,0.01,3.39,0.02,0.85,0.07,0.27,0.03,0.0,0.13,0.01,0.02,0.0,0.05,0.0,0.0,0.09,0.01,0.0,0.0,0.25,3.0
2016-09-05,1,0.03,0.03,0.01,0.02,0.03,0.0,0.0,35.5,0.0,0.03,0.67,0.04,36.66,0.02,0.0,0.0,1.38,0.04,0.19,18.55,0.25,0.0,0.02,0.0,0.0,3.74,0.76
2016-09-06,1,0.02,0.15,0.02,0.08,0.03,0.15,0.4,0.21,0.12,0.05,0.31,0.03,2.06,0.0,0.0,0.0,0.0,0.0,0.2,0.51,0.0,0.02,0.0,0.02,0.1,0.18,0.0
2016-09-07,1,0.15,15.03,0.52,0.03,2.09,1.08,0.03,0.61,2.25,3.88,1.64,0.18,0.14,0.2,0.07,0.19,0.11,0.4,0.91,0.33,5.12,0.75,0.07,0.33,37.39,2.94,0.47
2016-09-08,1,0.29,29.44,3.42,0.64,2.13,0.02,0.23,0.14,3.83,2.28,5.97,4.27,1.08,0.71,0.55,0.1,0.04,0.7,2.25,0.49,10.1,1.54,1.21,1.74,31.61,4.19,8.72
2016-09-09,1,0.4,0.47,0.5,0.02,1.47,0.08,0.58,0.36,1.08,14.74,0.6,0.01,4.92,0.33,0.91,0.07,0.0,0.8,4.48,0.25,4.2,0.08,0.92,1.37,3.87,1.7,8.96
2016-09-10,1,0.04,0.04,0.51,0.06,0.3,0.0,4.82,2.81,1.4,1.05,0.0,0.0,1.15,0.26,0.88,0.42,0.53,4.83,10.03,33.04,0.27,0.29,0.25,0.08,0.14,2.53,0.88
2016-09-11,1,0.46,0.0,0.26,0.4,29.39,0.13,0.26,1.74,2.18,5.02,0.02,0.05,1.01,21.82,1.27,0.55,0.03,0.65,1.68,14.39,0.65,0.0,0.13,0.23,0.17,3.3,0.71
2016-09-12,1,0.13,0.04,0.58,0.93,1.56,1.63,0.33,10.7,8.93,0.5,0.02,0.03,0.76,23.51,0.16,0.2,10.39,0.0,0.07,0.01,0.02,0.06,0.11,0.17,1.57,2.5,5.28
2016-09-13,1,0.52,1.1,0.28,0.0,5.02,0.68,0.16,0.54,0.8,0.68,0.03,0.01,0.22,4.67,0.07,0.42,20.71,3.54,0.04,1.2,1.43,0.1,0.61,0.29,0.81,1.76,0.07
2016-09-14,1,0.4,0.41,0.03,0.0,0.07,0.02,0.01,0.16,0.0,0.11,0.03,2.61,5.31,0.51,0.03,0.49,3.91,4.07,0.03,0.0,0.0,0.39,0.06,0.26,5.07,0.96,0.12
2016-09-15,1,6.22,0.0,0.04,0.63,1.18,0.24,0.0,0.34,0.0,0.03,0.0,1.09,27.75,0.82,3.88,13.14,2.08,0.22,0.0,0.79,11.64,31.32,0.11,0.68,0.62,4.11,0.05
2016-09-16,1,40.63,0.16,10.14,1.06,2.59,0.42,6.85,0.3,0.0,0.09,0.77,3.11,22.82,1.75,6.86,0.46,0.41,0.03,1.08,0.53,0.02,14.57,0.09,0.4,0.19,4.61,0.16
2016-09-17,1,0.59,0.98,14.43,0.44,2.0,0.29,0.25,0.07,0.23,1.91,0.96,0.17,6.81,1.51,8.95,0.02,0.67,0.02,4.6,2.49,0.29,0.39,0.21,32.69,1.14,3.28,13.13
2016-09-18,1,0.0,0.28,0.54,0.36,0.11,0.08,0.05,0.67,1.29,1.36,0.46,0.23,0.72,2.1,3.18,0.0,0.34,10.93,1.07,8.55,0.51,0.27,0.16,96.73,14.36,5.77,0.54
2016-09-19,1,0.0,0.03,0.05,0.16,0.16,0.03,0.68,0.1,3.17,87.99,1.24,0.07,0.36,0.04,0.84,37.32,1.2,1.76,0.92,0.36,0.03,0.06,0.16,1.1,1.68,5.58,1.62
2016-09-20,1,0.0,1.93,0.04,0.54,0.97,0.25,16.98,0.74,0.26,3.5,0.03,0.23,2.39,0.06,0.61,13.16,0.32,0.07,0.23,0.3,0.81,11.73,0.02,1.83,0.55,2.3,0.24
2016-09-21,1,0.0,0.0,0.02,0.18,0.2,0.19,10.47,0.0,0.0,0.0,0.0,0.75,0.26,0.0,0.0,1.45,0.03,0.01,0.09,0.17,0.58,1.26,0.16,2.98,0.23,0.76,0.0
2016-09-22,1,0.01,0.16,0.52,0.25,0.16,0.02,0.0,0.11,0.0,0.0,0.16,0.1,0.07,0.23,0.02,15.77,0.0,0.0,0.61,0.03,0.01,0.36,0.02,0.39,1.44,0.82,0.0
2016-09-23,1,0.0,0.06,0.02,0.0,0.36,0.03,0.03,0.02,0.02,0.02,3.45,0.23,3.15,0.07,0.49,0.0,4.78,0.0,0.34,0.02,0.0,0.17,0.0,0.08,0.46,0.55,0.0
2016-09-24,1,0.02,0.01,0.04,0.07,0.19,0.85,0.0,0.35,0.15,0.16,0.23,0.04,0.53,0.34,0.27,0.0,0.86,0.0,0.02,2.57,0.02,6.73,0.02,0.0,0.03,0.54,0.0
2016-09-25,1,0.08,0.29,0.17,0.0,0.0,0.85,0.03,0.0,0.16,0.16,0.49,0.0,0.53,1.47,0.08,12.63,0.07,0.73,0.0,0.52,0.0,2.17,0.03,0.05,0.0,0.82,0.0
2016-09-26,1,1.23,0.01,0.07,0.05,0.0,0.0,0.4,0.0,6.95,0.27,0.1,0.0,0.03,0.22,3.51,1.6,0.3,6.0,5.74,7.07,0.0,0.0,0.46,0.84,0.03,1.4,0.36
2016-09-27,1,0.0,0.0,0.99,0.03,0.04,0.0,1.12,0.03,2.6,0.2,0.02,0.0,0.0,1.58,0.01,0.06,0.19,0.15,8.89,1.72,3.79,0.19,0.0,0.04,0.08,0.87,8.14
2016-09-28,1,0.0,0.2,0.03,0.0,0.12,0.33,0.0,0.08,0.15,0.44,0.0,0.11,5.12,0.0,0.0,0.4,11.49,0.0,0.65,0.0,1.21,0.64,0.06,0.02,0.1,0.85,1.13
2016-09-29,1,0.09,0.04,0.37,0.03,0.0,0.33,0.02,0.16,0.0,0.0,0.0,0.0,0.0,12.84,0.0,0.03,0.0,0.0,0.15,0.0,0.0,26.68,0.09,0.31,0.48,1.66,0.22
2016-09-30,1,0.01,0.01,0.5,0.0,0.68,13.66,0.04,0.01,0.0,0.0,0.04,0.0,0.06,2.62,0.0,0.05,0.03,0.05,0.03,2.28,0.07,0.0,0.0,0.0,0.79,0.84,2.35
2016-10-01,2,0.02,0.02,1.74,0.0,0.94,37.35,0.02,0.25,0.44,0.14,0.02,1.07,0.03,2.73,0.05,0.0,0.59,0.07,0.83,0.91,0.5,1.27,0.0,9.19,0.05,2.33,0.07
2016-10-02,2,0.0,0.0,0.74,0.03,0.02,4.44,5.02,0.0,0.85,0.3,0.02,2.71,0.0,0.57,0.01,0.03,0.7,3.4,0.02,0.0,3.63,0.0,0.03,24.4,0.0,1.88,19.9
2016-10-03,2,3.87,0.02,0.02,0.4,0.19,0.22,1.13,0.0,0.26,0.05,5.4,0.01,0.07,0.0,0.0,0.08,0.02,0.48,0.02,0.01,0.94,0.48,0.12,63.74,0.16,3.11,38.02
