time,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2020-01-01,1,0.08,0.11,0.09,0.06,0.11,0.0,0.06,0.09,0.11,0.08,0.12,0.15,0.06,0.13,0.11,0.0,0.11,0.15,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.13,0.04,0.0,0.13,0.0,0.13,0.06,0.09,0.0,0.15,0.13,0.0,0.09,0.08,0.13,0.0,0.13,0.18,0.09,0.0,0.13,0.0,0.12,0.08,0.15,0.0,0.08,0.0
2020-01-02,1,0.0,0.04,0.0,0.02,0.0,0.0,0.02,0.03,0.0,0.02,0.03,0.02,0.02,0.0,0.09,0.0,0.06,0.05,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.06,0.02,0.0,0.06,0.06,0.03,0.02,0.08,0.04,0.0,0.03,0.11,0.03,0.03,0.04,0.0,0.02,0.0,0.06,0.0,0.02,0.0,0.02,0.0
2020-01-03,1,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.06,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.1,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
2020-01-04,1,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
2020-01-05,1,0.17,0.01,0.02,0.0,0.03,0.0,0.6,0.02,0.92,0.02,0.28,2.43,0.0,0.31,0.01,0.5,0.04,0.03,1.3,0.0,0.01,0.0,0.09,0.08,1.01,0.0,0.15,0.42,0.01,0.02,0.0,0.08,0.0,0.01,0.15,0.53,0.0,0.0,0.02,1.89,0.0,0.0,0.69,1.47,0.01,0.05,0.0,0.02,0.18,0.0,0.54,0.28,0.0
2020-01-06,1,10.67,5.76,7.17,16.33,3.79,0.0,21.73,2.1,4.53,9.96,4.37,19.03,0.65,9.15,5.84,5.94,1.53,2.23,7.96,1.93,5.42,0.69,19.81,6.03,3.12,6.11,1.09,1.81,1.21,9.36,9.53,14.25,5.47,4.8,0.12,11.2,2.64,3.39,0.66,14.15,5.86,14.14,4.27,3.88,12.75,10.94,4.92,0.35,2.14,2.17,9.77,6.52,0.06
2020-01-07,1,18.73,26.08,3.64,27.91,16.62,10.97,5.94,15.76,6.05,31.06,6.68,30.52,23.99,7.8,2.42,0.26,1.24,24.17,17.48,0.11,20.49,0.52,15.5,15.38,22.46,28.46,0.47,0.61,24.93,23.51,21.31,20.98,0.35,28.25,11.88,26.9,0.22,0.51,6.01,19.55,7.7,0.37,19.78,7.9,32.16,17.44,25.4,16.06,0.92,18.96,8.91,14.14,55.69
2020-01-08,1,1.54,0.12,0.61,1.29,4.83,6.85,4.65,1.79,2.2,4.99,0.59,2.85,2.55,3.43,0.25,1.2,0.3,1.64,5.09,0.48,0.74,0.84,3.13,4.0,5.29,0.24,1.83,0.19,0.33,3.25,0.56,2.69,2.0,2.97,4.34,0.06,0.92,0.0,0.04,0.97,1.1,0.16,13.19,0.56,4.79,0.5,3.65,0.25,0.03,8.55,1.41,2.27,27.2
2020-01-09,1,0.06,0.0,0.02,0.0,0.04,0.02,0.07,0.06,1.03,0.2,0.47,0.05,0.25,0.0,0.0,0.03,0.02,0.0,0.16,0.0,0.03,0.33,0.01,0.2,0.12,0.02,0.21,0.0,0.27,0.47,0.01,0.04,0.18,0.33,0.03,0.03,0.08,0.06,0.06,0.0,0.01,0.04,0.04,1.13,1.22,0.25,0.18,0.0,0.02,1.22,0.02,0.18,0.02
2020-01-10,1,0.0,3.62,4.35,0.0,10.34,0.04,0.02,0.46,0.15,0.2,0.5,0.01,0.3,5.03,0.02,0.0,0.04,12.85,0.0,0.14,0.0,0.4,0.0,1.48,0.11,0.62,0.9,0.0,29.14,1.04,5.1,0.33,0.01,0.0,8.12,0.02,0.83,1.08,0.0,0.0,0.0,7.92,0.69,0.06,0.03,0.01,0.04,0.05,0.78,2.13,0.38,1.95,0.0
2020-01-11,1,3.01,9.86,3.48,0.78,2.55,0.0,1.66,14.71,2.38,10.97,0.15,0.0,19.9,0.17,3.1,0.9,0.31,7.44,0.08,0.52,0.0,0.51,0.0,18.58,1.01,0.31,1.4,3.93,1.1,17.73,12.12,3.76,2.61,0.02,1.54,0.76,0.16,0.02,10.93,4.39,5.41,13.52,14.04,2.55,5.07,3.61,1.3,11.15,5.01,2.39,4.27,4.53,0.0
2020-01-12,1,5.14,0.64,0.06,0.83,0.08,0.0,0.13,2.0,0.33,0.01,0.02,0.0,1.9,-0.01,5.78,0.18,0.39,0.02,0.43,0.0,0.0,0.0,0.06,0.43,2.58,0.0,0.18,3.1,0.0,3.49,0.4,8.21,0.02,0.56,0.5,0.99,1.64,0.87,8.95,9.19,0.64,4.6,1.19,0.32,0.03,1.25,0.1,3.91,1.89,1.51,0.0,1.46,0.0
2020-01-13,1,0.39,0.0,0.0,0.91,0.0,0.0,0.85,0.25,0.0,0.0,0.03,0.0,1.07,0.27,1.79,0.09,0.02,0.0,0.75,0.0,0.1,0.17,6.19,0.02,0.01,0.0,0.18,0.08,0.0,0.02,0.03,0.23,0.02,0.03,0.02,3.24,0.08,0.12,0.17,1.74,0.0,0.96,0.0,0.02,0.03,0.63,0.02,0.63,1.62,0.11,0.0,0.45,0.0
2020-01-14,1,0.08,0.0,0.01,8.28,0.0,0.02,0.05,0.04,0.0,0.0,0.59,0.0,0.26,4.32,0.49,0.0,0.0,0.02,0.27,0.27,0.0,0.05,1.44,0.0,0.01,0.15,0.67,0.17,0.02,0.0,0.02,1.53,0.01,3.81,0.0,2.8,0.02,0.0,0.0,0.05,0.06,2.29,0.06,0.0,0.0,0.0,0.0,0.15,1.4,0.0,0.0,0.58,0.0
2020-01-15,1,0.22,0.1,0.1,1.21,0.0,0.06,0.21,0.05,0.0,0.02,0.02,0.04,1.48,0.86,0.16,0.0,0.02,0.21,0.02,0.36,0.0,0.0,0.05,0.0,0.01,0.01,0.0,0.02,0.01,0.0,0.04,0.02,0.35,0.12,0.04,0.06,0.11,0.03,0.0,0.03,0.65,0.78,0.0,0.03,0.0,0.37,0.71,0.06,0.06,0.0,0.03,0.17,0.0
2020-01-16,1,0.02,0.19,0.05,7.11,0.0,0.44,0.01,0.0,0.21,0.0,0.0,0.05,0.0,0.22,0.11,0.0,0.37,0.02,0.04,0.01,0.0,0.15,0.64,0.0,0.84,0.0,0.0,0.01,0.45,0.02,0.01,0.0,0.06,0.0,0.22,0.15,0.19,0.11,0.0,0.15,0.02,0.02,0.0,0.04,0.16,0.02,0.01,0.02,0.0,0.04,0.19,0.24,0.0
2020-01-17,1,1.84,0.0,0.0,0.06,0.0,0.13,0.2,0.0,0.38,0.0,0.05,0.01,0.26,0.03,0.15,0.0,0.23,0.0,0.0,0.0,0.09,0.06,0.0,0.0,0.04,0.02,0.0,0.02,0.02,0.0,0.0,0.2,0.0,0.0,0.02,2.88,0.53,0.0,0.18,0.52,0.61,0.05,0.08,-0.01,0.91,4.0,0.0,0.09,0.11,0.02,0.51,0.28,0.12
2020-01-18,1,0.42,0.1,0.0,0.3,0.0,3.51,0.09,0.2,0.0,0.13,1.11,0.0,0.39,0.0,0.16,0.93,0.08,0.02,0.05,0.29,0.01,0.02,0.15,0.0,0.7,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.09,0.0,0.03,0.33,0.83,0.05,0.01,11.54,18.23,0.01,0.12,0.01,0.36,0.0,0.8,1.19
2020-01-19,1,0.0,0.31,0.19,0.11,0.02,0.22,0.01,0.11,0.18,0.06,0.11,0.01,0.07,-0.02,0.01,0.32,0.0,0.01,0.05,7.84,0.0,0.07,0.76,0.02,0.04,0.0,0.19,9.39,0.0,0.02,0.0,0.17,0.06,0.12,0.09,0.05,0.01,0.5,0.02,0.0,0.0,0.03,0.18,0.9,1.7,0.98,0.0,0.16,0.0,0.02,0.84,0.51,0.36
2020-01-20,1,0.02,1.05,0.0,0.02,0.0,0.09,0.01,0.02,0.09,0.03,0.04,0.0,0.04,0.03,0.04,0.0,0.24,0.26,0.05,0.01,0.04,3.69,0.37,0.11,0.0,0.39,0.15,6.26,0.0,0.02,0.0,0.01,0.09,0.0,0.09,0.13,0.02,0.24,0.0,1.44,0.0,0.05,1.48,0.03,0.01,0.02,1.17,1.19,0.84,0.0,0.24,0.39,0.01
2020-01-21,1,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.08,0.01,1.01,0.0,0.0,0.33,0.0,1.82,0.0,0.0,1.78,0.0,0.26,0.73,0.59,0.3,0.0,0.0,0.02,0.0,0.01,0.13,0.66,0.0,0.01,0.04,0.63,0.0,0.03,0.02,2.91,0.0,0.52,0.0,0.03,2.52,0.0,0.01,0.13,0.01,0.0,10.5,0.0,2.42,0.54,0.0
2020-01-22,1,0.0,0.0,0.0,0.0,0.06,0.05,0.0,0.24,0.05,1.81,0.0,0.02,0.79,0.0,13.82,1.74,0.3,0.0,16.59,0.34,0.23,0.24,0.37,0.81,0.0,2.92,8.09,0.07,0.03,0.02,0.0,0.0,0.14,0.17,0.0,0.0,0.62,0.0,0.02,0.5,0.0,0.26,0.58,0.01,0.04,0.23,0.78,0.0,0.33,0.0,0.02,1.03,0.02
2020-01-23,1,0.0,0.02,0.0,1.29,0.0,0.91,0.02,0.27,0.27,1.54,0.02,0.66,0.47,0.0,3.3,0.91,0.06,0.04,2.38,0.56,0.03,3.73,1.14,0.35,0.0,0.08,3.07,0.0,0.06,0.05,0.0,1.14,0.13,0.0,0.13,0.01,0.25,0.0,0.0,0.58,0.39,0.05,12.98,0.03,0.05,0.01,0.09,0.0,0.0,0.04,0.01,0.73,0.05
