time,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,mean,obs
2011-05-01,1,10.19,9.63,10.42,8.79,10.51,9.19,10.6,8.89,10.81,9.83,9.8,10.26,9.31,10.49,9.54,10.08,10.28,10.12,10.04,9.87,9.61,10.96,9.24,10.11,10.35,9.96,13.5
2011-05-02,1,11.76,11.28,12.07,12.77,11.66,12.31,11.84,10.96,12.08,13.18,11.36,11.04,11.91,10.73,11.29,11.9,12.14,12.89,10.54,11.72,12.04,11.88,11.45,10.76,13.51,11.8,14.13
2011-05-03,1,11.34,11.19,13.25,10.39,11.64,9.39,12.78,12.41,11.46,12.69,10.93,10.8,12.68,11.2,12.05,8.05,10.48,11.56,12.02,12.09,13.16,12.25,12.22,11.68,13.21,11.64,13.93
2011-05-04,1,9.28,9.29,9.4,9.03,9.95,10.22,8.97,12.37,8.86,10.59,9.16,9.08,9.99,13.46,8.48,8.74,8.71,10.41,9.93,9.71,9.09,8.86,10.29,6.53,9.99,9.62,11.8
2011-05-05,1,9.74,8.34,14.15,12.81,14.79,11.64,14.25,13.25,9.09,15.27,9.36,10.92,9.47,15.03,9.91,15.3,8.21,14.37,13.75,12.65,10.41,14.1,7.79,6.94,13.26,11.79,13.67
2011-05-06,1,13.47,13.16,16.59,14.61,13.48,14.19,14.82,14.96,8.45,13.66,9.96,14.22,14.02,15.82,15.13,14.83,12.58,13.37,14.74,15.92,13.31,14.16,13.86,10.84,13.07,13.73,13.03
2011-05-07,1,9.6,13.19,15.24,15.36,16.18,11.29,12.67,14.95,16.01,17.29,13.22,13.34,16.45,16.38,14.65,12.86,15.98,9.86,10.26,10.33,17.58,10.47,14.74,12.44,11.62,13.68,17.0
2011-05-08,1,13.83,13.96,13.46,10.45,13.74,10.89,13.02,10.7,15.3,16.09,12.24,15.9,10.01,17.22,13.75,15.21,11.92,9.48,12.41,11.77,14.41,15.31,15.79,11.25,14.02,13.29,16.4
2011-05-09,1,11.21,10.76,14.34,10.26,14.54,11.52,16.8,11.94,15.49,12.7,12.41,14.78,12.88,9.7,10.23,13.72,12.5,12.08,13.91,12.3,14.66,11.01,12.94,14.88,17.19,12.99,16.83
2011-05-10,1,14.87,14.13,13.84,9.6,15.46,13.08,17.91,16.41,16.19,10.46,15.39,13.11,14.05,10.85,12.68,13.17,13.94,15.29,13.52,13.55,17.03,12.52,14.24,13.55,13.27,13.92,15.03
2011-05-11,1,13.4,14.79,13.8,11.35,14.75,9.08,15.17,12.7,12.38,9.6,14.74,12.44,17.44,9.99,13.22,16.53,15.69,15.45,11.65,13.21,18.43,12.77,12.08,14.41,17.94,13.72,13.73
2011-05-12,1,11.11,15.81,16.01,11.25,12.38,14.15,12.94,11.02,13.66,10.56,16.07,14.14,15.84,12.08,16.2,10.78,14.27,15.66,15.42,14.37,11.36,12.63,13.66,9.12,13.69,13.37,14.23
2011-05-13,1,13.6,10.75,17.76,11.95,12.38,13.04,13.24,15.64,15.86,14.76,12.47,14.71,18.53,14.55,17.77,13.63,14.09,16.58,11.57,15.63,12.02,13.57,14.05,11.74,13.36,14.13,14.67
2011-05-14,1,14.24,14.65,10.77,13.69,16.53,13.05,15.69,13.33,13.55,13.95,11.21,13.23,16.19,14.77,11.31,14.83,11.52,16.64,14.74,14.46,15.6,11.25,15.69,12.53,15.87,13.97,17.04
2011-05-15,1,17.17,16.78,14.26,12.81,13.84,11.45,12.8,11.29,16.23,13.97,12.77,13.21,13.01,11.75,12.38,17.68,14.2,10.66,15.97,16.25,13.45,10.13,14.89,17.32,13.45,13.91,15.9
2011-05-16,1,14.05,14.29,13.6,9.44,10.62,14.13,12.12,10.74,16.58,13.23,15.09,15.75,14.66,11.76,14.26,16.37,12.37,10.86,14.16,10.68,11.65,13.52,16.71,19.04,10.44,13.44,14.13
2011-05-17,1,13.87,12.1,14.98,13.34,10.48,14.29,11.83,13.02,15.18,10.06,16.84,15.72,17.46,10.96,16.95,15.48,12.62,10.77,13.29,14.35,11.98,12.97,12.7,15.88,10.81,13.52,13.87
2011-05-18,1,18.01,11.25,17.26,15.58,8.67,8.97,10.12,12.47,9.22,10.19,14.07,12.22,12.88,13.04,18.02,16.34,13.12,11.21,11.18,17.56,9.64,12.3,16.23,15.31,12.22,13.08,16.2
2011-05-19,1,19.7,11.99,18.41,16.08,12.75,6.58,16.04,11.98,12.34,12.77,17.92,14.94,8.36,14.74,13.09,17.64,15.34,14.97,10.63,20.81,9.82,8.62,15.66,10.95,12.12,13.77,19.2
2011-05-20,1,19.49,10.94,15.67,19.27,12.33,10.91,17.34,11.29,13.78,15.91,13.41,15.63,9.93,16.9,14.63,18.07,15.03,13.52,13.94,23.45,13.06,15.81,12.07,13.42,15.94,14.87,17.77
2011-05-21,1,12.78,13.37,16.24,16.62,13.9,11.5,17.55,15.09,18.02,16.33,14.28,12.41,11.25,18.28,18.08,9.76,13.03,10.73,14.15,21.94,15.32,15.69,13.84,15.05,17.27,14.9,13.97
2011-05-22,1,17.76,14.75,15.97,11.62,14.59,7.33,17.75,14.04,15.49,16.05,16.5,13.2,13.12,19.04,18.24,12.55,13.14,13.88,12.76,21.85,14.26,17.51,17.16,16.4,15.45,15.22,15.4
2011-05-23,1,18.64,14.77,17.85,13.94,16.85,11.26,13.76,17.01,12.39,15.79,17.72,15.01,15.41,18.78,22.3,10.9,15.38,14.91,17.27,20.87,15.15,12.41,15.93,9.66,17.0,15.64,16.9
2011-05-24,1,18.8,14.52,14.03,18.23,14.12,14.08,17.02,17.13,16.43,12.51,19.9,14.74,16.35,18.58,21.6,11.9,17.98,8.89,17.83,19.74,14.24,17.19,14.07,9.23,15.59,15.79,17.43
2011-05-25,1,20.22,15.61,18.83,20.58,12.99,15.5,12.94,16.6,15.34,12.13,18.66,12.03,16.8,17.71,19.58,15.34,16.69,8.64,19.9,16.25,15.52,19.45,13.35,12.23,14.69,15.9,17.97
2011-05-26,1,17.9,13.07,19.18,22.19,15.25,16.35,18.08,19.84,16.36,17.12,16.2,12.55,16.65,18.96,17.22,16.46,12.26,9.68,20.83,15.9,13.67,16.92,14.39,13.94,14.45,16.22,16.03
2011-05-27,1,13.21,17.09,15.34,20.29,15.3,15.08,16.83,18.43,12.44,17.67,17.43,13.84,19.17,19.06,17.71,17.05,15.05,11.76,20.07,16.1,13.7,17.66,15.71,14.74,16.4,16.29,15.57
2011-05-28,1,16.7,17.35,18.29,17.45,14.09,18.48,18.56,19.22,15.54,16.49,20.05,13.6,19.71,19.69,17.18,17.14,16.49,16.56,17.88,21.71,16.53,17.84,12.91,15.57,18.33,17.33,18.43
2011-05-29,1,16.64,18.06,19.09,17.82,19.4,17.45,19.64,17.89,18.12,13.13,20.74,18.41,21.87,17.28,18.63,16.65,16.34,17.06,18.96,22.44,13.98,15.85,18.18,19.05,15.16,17.91,17.33
2011-05-30,1,16.97,18.65,19.57,22.14,18.36,15.59,16.94,21.01,16.51,11.62,21.01,16.04,18.5,19.59,17.16,19.62,14.56,16.73,18.3,22.62,16.39,16.29,17.85,17.01,11.48,17.62,17.37
2011-05-31,1,17.55,19.82,18.91,18.12,15.32,17.67,10.18,15.52,17.13,18.35,18.56,15.43,16.2,17.97,13.67,17.23,13.98,18.7,20.69,18.94,13.41,18.37,18.41,18.62,12.35,16.84,15.2
2011-06-01,2,17.13,17.38,19.54,21.39,15.45,13.69,9.77,15.08,17.04,15.85,20.87,17.88,17.77,20.17,16.54,14.18,18.32,16.05,20.16,19.09,15.58,15.49,20.27,18.8,18.16,17.27,15.83
2011-06-02,2,21.5,19.79,21.52,19.4,18.44,15.43,14.19,15.45,17.0,20.43,19.69,13.1,15.87,22.85,20.45,18.8,17.16,14.18,17.39,13.81,17.23,19.32,16.51,16.24,13.66,17.58,17.87
2011-06-03,2,18.35,20.25,22.44,17.52,22.1,16.13,12.11,18.94,16.58,14.61,18.73,10.88,18.36,14.82,12.52,20.09,20.41,14.78,17.12,17.69,20.21,20.03,17.21,17.78,19.35,17.56,17.97
2011-06-04,2,19.13,19.2,23.38,18.21,19.81,15.78,11.14,23.35,22.15,17.21,20.11,10.79,19.88,10.89,12.05,22.39,19.11,17.96,14.95,18.97,19.57,20.0,18.48,14.48,21.55,18.02,20.0
2011-06-05,2,20.14,19.81,20.39,14.22,20.63,16.13,10.63,22.54,22.41,21.29,18.24,10.36,18.29,14.69,13.69,11.53,20.34,17.51,15.62,17.82,19.21,22.9,16.77,13.01,17.12,17.41,20.0
2011-06-06,2,18.56,19.61,20.15,12.39,21.68,13.8,9.03,22.37,25.09,23.64,18.92,9.53,16.27,14.62,11.94,14.63,23.0,16.55,17.82,17.43,15.42,23.13,17.42,14.15,16.11,17.33,20.6
2011-06-07,2,19.83,20.88,16.28,11.58,20.68,13.48,9.99,18.32,23.09,19.78,19.42,12.04,16.08,18.4,13.05,15.75,21.02,18.79,19.95,19.29,14.07,21.32,19.98,21.41,18.25,17.71,19.13
2011-06-08,2,20.19,19.31,19.35,10.41,16.08,18.71,12.02,16.58,24.61,17.11,19.25,13.92,13.58,15.91,17.2,18.42,17.8,16.22,21.5,19.73,19.09,21.76,18.79,18.1,15.18,17.63,20.97
2011-06-09,2,15.14,22.48,23.99,11.25,17.76,17.75,12.71,16.36,22.6,18.79,19.04,13.24,14.87,14.47,18.58,21.11,19.24,16.73,22.54,15.39,19.3,18.34,15.7,18.78,12.52,17.55,19.63
2011-06-10,2,16.0,21.34,23.96,14.44,23.22,20.86,14.32,16.43,25.3,19.03,17.09,12.26,19.65,17.65,18.38,19.37,20.95,14.79,18.66,17.7,16.1,19.69,19.19,17.96,14.46,18.35,20.77
2011-06-11,2,16.95,18.7,21.25,17.88,16.63,20.2,14.01,21.04,18.76,19.97,12.64,17.46,20.26,16.88,17.03,20.99,21.33,13.98,16.46,21.02,15.76,17.45,19.71,18.94,19.59,18.2,21.47
2011-06-12,2,19.56,17.33,19.69,19.61,16.03,17.05,16.31,21.11,18.9,19.57,14.11,17.47,18.35,13.36,17.07,19.84,20.32,13.45,15.37,18.13,17.95,17.2,20.12,21.28,18.39,17.9,20.9
2011-06-13,2,21.28,16.57,19.67,19.33,19.42,18.29,19.9,16.76,17.57,15.97,15.21,19.71,20.24,16.48,18.29,17.08,20.08,14.14,16.48,17.9,20.14,16.35,19.18,18.04,16.63,18.03,19.67
2011-06-14,2,22.53,17.2,21.05,18.81,19.67,23.33,20.36,11.66,15.07,16.89,15.58,20.04,17.86,18.35,20.49,15.37,18.37,19.53,16.61,20.01,19.97,14.0,17.82,18.8,18.4,18.31,20.67
2011-06-15,2,16.66,18.78,18.95,21.94,16.04,18.09,17.74,13.06,14.54,17.94,19.7,14.65,19.27,19.64,21.92,15.16,19.72,18.83,18.19,18.58,19.09,15.82,15.84,14.91,19.18,17.77,21.2
2011-06-16,2,17.94,20.92,19.96,19.26,17.63,15.38,16.86,17.13,18.56,19.28,19.61,15.33,15.56,16.83,21.66,20.6,20.66,21.63,16.52,21.23,16.14,19.63,18.17,18.8,20.67,18.64,22.13
2011-06-17,2,17.54,19.43,20.44,18.19,20.21,20.06,15.75,18.79,19.89,15.57,17.96,15.54,19.81,15.04,18.01,20.77,22.49,22.32,17.85,19.06,18.29,22.63,19.8,20.11,22.45,19.12,21.53
2011-06-18,2,15.42,15.98,16.21,20.96,20.37,21.39,18.77,16.86,21.76,17.55,13.64,17.21,16.83,14.22,16.49,20.66,21.91,16.18,20.62,19.91,20.83,19.08,21.08,19.65,22.87,18.66,22.27
2011-06-19,2,15.08,19.81,16.02,19.91,18.84,20.46,22.28,17.9,21.74,22.38,13.5,17.44,19.45,14.34,19.28,19.49,17.47,15.72,18.6,15.57,17.81,19.29,17.73,16.58,23.28,18.4,22.63
2011-06-20,2,15.45,20.98,21.49,19.35,20.55,17.62,21.33,18.52,21.58,16.36,13.92,19.72,19.49,17.34,20.79,17.5,20.22,16.28,17.73,15.46,17.12,21.12,19.99,16.09,23.2,18.77,23.0
2011-06-21,2,15.85,19.26,18.57,21.23,18.75,16.95,24.74,18.5,19.86,13.52,12.53,17.36,21.11,17.55,19.15,18.63,22.23,18.98,14.77,18.53,18.33,21.6,19.75,16.35,20.55,18.59,23.47
2011-06-22,2,15.58,18.68,17.44,16.05,22.52,20.49,20.82,18.77,21.58,15.83,16.69,18.7,20.2,20.42,18.73,19.04,21.87,18.52,16.25,17.29,18.87,17.56,20.25,17.44,23.38,18.92,21.94
2011-06-23,2,15.15,17.36,19.06,16.71,22.78,19.47,21.69,17.07,20.0,19.29,19.41,20.4,20.27,19.16,21.67,19.65,22.02,22.23,20.98,21.15,24.19,16.53,21.94,19.15,23.37,20.03,22.47
2011-06-24,2,15.1,15.21,16.89,18.41,21.82,15.86,22.78,19.01,19.18,20.4,20.83,22.65,19.92,20.98,20.55,19.82,20.11,20.22,17.43,20.61,24.11,16.19,21.61,19.77,21.99,19.66,18.1
2011-06-25,2,13.77,18.07,18.08,19.15,17.72,18.45,21.03,18.98,19.8,22.09,23.13,22.4,21.72,19.16,22.11,18.02,22.37,19.74,17.02,20.13,17.04,16.08,20.78,21.41,21.47,19.59,15.97
2011-06-26,2,14.05,18.18,22.38,19.0,18.86,21.44,19.49,21.25,17.69,21.88,23.64,22.75,23.13,16.51,21.98,18.78,23.88,19.81,15.73,20.39,16.89,20.59,21.19,20.07,21.3,20.03,16.13
2011-06-27,2,15.4,19.21,19.65,17.18,22.02,20.09,17.1,21.51,19.69,21.21,22.24,20.37,24.02,16.07,21.9,18.41,22.66,19.92,13.43,19.31,16.89,21.05,25.39,19.29,19.01,19.72,17.73
2011-06-28,2,18.91,21.89,23.7,19.83,23.16,21.85,15.84,20.59,19.62,20.57,19.47,21.58,23.38,15.73,22.82,20.05,23.19,20.46,13.9,20.9,15.98,19.08,22.27,19.94,15.7,20.02,22.57
