time,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2020-01-01,1,-5.3,-5.56,-5.95,-3.5,-6.84,-6.09,-5.52,-4.17,-5.46,-5.8,-3.95,-3.32,-6.58,-4.0,-4.76,-5.78,-4.57,-2.62,-6.69,-6.43,-3.91,-3.99,-5.03,-4.87,-4.42,-3.79,-5.9,-6.97,-3.02,-6.71,-3.91,-6.51,-3.69,-6.52,-3.52,-2.94,-7.08,-4.41,-5.45,-3.21,-7.82,-4.49,-3.59,-4.43,-5.65,-3.74,-6.79,-3.4,-5.71,-3.67,-7.06,-5.0,1.0
2020-01-02,1,-6.92,-7.21,-5.33,-6.29,-7.11,-8.14,-5.1,-6.21,-7.4,-6.53,-5.74,-4.86,-7.14,-6.4,-6.89,-5.96,-7.17,-6.3,-5.46,-5.9,-7.05,-6.9,-6.19,-6.31,-6.91,-7.07,-5.62,-6.81,-6.77,-6.87,-6.45,-6.44,-6.3,-6.55,-6.75,-5.89,-6.78,-6.06,-6.8,-6.96,-3.16,-6.68,-6.52,-6.21,-5.78,-5.47,-7.61,-6.59,-7.01,-6.99,-5.33,-6.41,-1.77
2020-01-03,1,-5.64,-5.83,-6.5,-5.19,-4.77,-6.65,-4.86,-5.71,-3.61,-4.83,-4.25,-5.14,-6.35,-5.38,-4.61,-5.6,-6.24,-5.58,-5.39,-5.74,-5.7,-4.51,-4.24,-5.8,-2.02,-5.64,-3.79,-5.42,-5.41,-2.03,-5.55,-5.45,-5.95,-4.88,-5.31,-5.48,-4.15,-6.5,-1.75,-4.7,-4.81,-5.81,-4.96,-5.86,-4.4,-5.94,-5.77,-5.49,-4.57,-5.93,-4.82,-5.11,-1.1
2020-01-04,1,-5.57,-5.71,-5.5,-5.41,-7.45,-6.74,-4.54,-4.98,-5.65,-5.66,-7.09,-4.17,-7.55,-3.89,-6.24,-5.12,-6.63,-4.38,-5.35,-5.41,-7.41,-4.56,-7.8,-6.07,-4.58,-7.39,-4.29,-5.25,-6.38,-4.52,-7.56,-4.39,-5.96,-6.96,-4.7,-5.36,-5.92,-8.02,-4.94,-4.3,-6.34,-5.9,-5.47,-5.04,-5.83,-6.88,-4.44,-6.36,-4.33,-6.52,-4.12,-5.7,0.44
2020-01-05,1,0.01,-2.87,-0.47,-0.74,-0.1,-3.21,-0.78,0.26,-0.4,-0.97,-1.71,-1.88,-5.3,0.06,-2.07,-1.11,-0.88,-2.05,0.0,-0.31,-1.78,-0.92,-0.75,-0.85,-1.46,-1.56,-0.28,-1.4,-1.12,-0.12,-1.28,-0.99,-1.56,-0.86,-0.22,-0.66,-1.19,-1.33,-2.07,-1.47,-2.92,-0.93,-0.98,-1.35,-0.61,-1.64,0.26,-1.91,-0.51,-2.01,-0.83,-1.17,1.37
2020-01-06,1,2.48,1.46,1.51,2.62,1.95,-1.31,2.43,1.92,0.94,2.85,3.3,3.76,-0.05,3.24,0.52,1.83,0.0,-0.02,2.74,2.0,1.42,0.29,2.45,1.3,2.74,1.15,0.65,1.31,0.56,1.97,1.8,1.43,1.38,1.38,0.69,3.62,-1.44,0.5,0.99,0.69,-0.32,1.89,1.74,2.13,3.31,2.69,2.05,2.44,-4.27,0.96,2.77,1.46,-5.97
2020-01-07,1,0.88,-0.98,0.81,0.31,-0.92,0.92,2.84,-0.2,2.26,2.26,-0.23,1.2,0.09,1.61,0.19,1.07,-0.78,0.31,-0.69,-1.73,0.95,-0.36,0.02,-0.15,4.09,-0.17,0.05,0.17,0.83,2.1,0.51,0.74,-0.67,0.63,0.75,-0.02,-2.46,-0.48,-0.53,-1.33,0.05,0.29,1.82,-0.25,0.59,0.46,0.77,-1.03,-2.43,1.94,-0.69,0.3,3.1
2020-01-08,1,-1.37,-7.97,-3.13,-2.4,-2.33,0.77,-3.96,-4.05,-0.16,-0.06,-3.61,-3.87,-3.49,-0.36,-5.72,-2.02,-2.02,-6.73,-2.93,-1.65,-0.78,-0.16,-12.35,-0.27,0.37,-4.58,0.75,-0.58,-4.59,-0.31,-5.61,-5.05,-3.35,-1.89,-1.22,-12.44,-2.39,-2.79,-9.25,-8.08,-3.54,-0.56,0.48,-9.99,-3.08,-9.0,-1.51,-17.51,-2.26,-0.32,-5.8,-3.62,4.37
2020-01-09,1,-4.76,-6.2,-5.15,-4.29,-10.99,-5.61,-3.11,-6.56,-3.18,-0.03,-3.89,-12.83,-4.22,-2.15,-6.94,-3.51,-3.35,-5.8,-11.19,-3.04,-6.34,-1.99,-17.89,-12.17,-1.83,-9.61,-1.39,-2.66,-1.74,-1.75,-10.56,-7.86,-7.21,-12.35,-2.45,-9.98,-3.98,-4.39,-7.41,-13.41,-7.46,-2.18,-7.26,-3.51,-6.8,-7.89,-8.15,-19.66,-3.96,-1.87,-14.31,-6.41,-0.4
2020-01-10,1,-10.82,1.97,0.07,-5.06,2.1,-5.68,-0.37,-0.43,-2.07,-1.72,-2.47,-15.49,-2.72,0.89,-5.37,-2.43,-0.29,2.04,-15.7,-3.16,-8.22,0.85,-15.63,0.63,-3.98,-6.73,-0.15,-1.39,5.77,1.0,0.48,-5.19,-5.14,-8.24,1.12,-9.19,-1.65,-2.82,-5.94,-6.93,-6.42,3.2,-1.33,-5.76,-5.72,-7.93,-1.4,-5.48,-0.25,-0.3,-3.22,-3.39,-0.27
